entity,state,type,affected,date,incident,location,business_associate
"KIM P. KORNEGAY, DMD",AL,Healthcare Provider,27000,4/19/19,Theft,Paper/Films,No
"Valley Women's Health, S.C.",IL,Healthcare Provider,5155,4/19/17,Hacking/IT Incident,Network Server,No
"Quarles & Brady, LLP",WI,Business Associate,1032,4/19/16,Theft,Laptop,Yes
"Healthcare Solutions Team, LLC",IL,Business Associate,675,4/19/11,Unauthorized Access/Disclosure,Other,Yes
"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",CT,Healthcare Provider,54165,4/19/10,Theft,Laptop,No
AltaMed Health Services Corporation,CA,Healthcare Provider,5500,4/18/19,Hacking/IT Incident,Network Server,Yes
"Pediatric Orthopedic Specialties, PA, dba ActivYouth Orthopaedics",NJ,Healthcare Provider,24176,4/18/19,Hacking/IT Incident,Network Server,No
Gary W Peer MD,CA,Healthcare Provider,3400,4/18/19,Hacking/IT Incident,Network Server,No
ELENA MARIA BURUIANA PHYSICIAN P.C.,NY,Healthcare Provider,1308,4/18/19,Hacking/IT Incident,Network Server,No
Madison Parish Hospital Service District,LA,Healthcare Provider,1436,4/18/19,Unauthorized Access/Disclosure,Email,No
Alana Healthcare,TN,Healthcare Provider,2691,4/18/19,Hacking/IT Incident,Email,No
Center for Sight & Hearing,IL,Healthcare Provider,5319,4/18/19,Hacking/IT Incident,Email,No
Center for Orthopaedic Specialists - Providence Medical Institute (PMI),CA,Healthcare Provider,81550,4/18/18,Hacking/IT Incident,Network Server,No
Humana Inc [case # HU17001CC],KY,Health Plan,3831,4/18/17,Hacking/IT Incident,Network Server,No
Florida Hospital Medical Group,FL,Healthcare Provider,1906,4/18/16,Unauthorized Access/Disclosure,Email,Yes
Larsen Dental Care LLC,ID,Healthcare Provider,6900,4/18/14,Theft,Other Portable Electronic Device,No
VGM Homelink,IA,Business Associate,1400,4/18/14,Unauthorized Access/Disclosure,Paper/Films,Yes
Shaker Clinic,OH,Healthcare Provider,617,4/18/14,Loss,Paper/Films,No
Emory Healthcare,GA,Healthcare Provider,315000,4/18/12,Unknown,Other,No
Hebrew Home of Greater Washington,MD,Healthcare Provider,5693,4/17/20,Hacking/IT Incident,Email,No
Beaumont Health,MI,Healthcare Provider,112211,4/17/20,Hacking/IT Incident,Email,No
Houston Methodist Hospital,TX,Healthcare Provider,1987,4/17/20,Theft,Other Portable Electronic Device,No
"Good Samaritan Hospital, Inc.",CA,Healthcare Provider,233835,4/17/20,Hacking/IT Incident,Email,No
Delta Dental of Illinois,IL,Business Associate,4216,4/17/19,Hacking/IT Incident,Email,Yes
Kansas Department for Aging and Disability Services,KS,Healthcare Provider,11000,4/17/18,Unauthorized Access/Disclosure,Desktop Computer,No
"Inogen, Inc.",CA,Healthcare Provider,29528,4/17/18,Hacking/IT Incident,Email,No
"MAXIMUS, Inc. / Business Ink, Co.",VA,Business Associate,3029,4/17/18,Unauthorized Access/Disclosure,Paper/Films,Yes
Jersey City Medical Center,NJ,Healthcare Provider,1447,4/17/15,Unauthorized Access/Disclosure,Email,No
"Courier Express/Atlanta, Courier Express/Charlotte & Courier Express US, Inc.",GA,Business Associate,2523,4/17/14,Unauthorized Access/Disclosure,Paper/Films,Yes
"Service Coordination, Inc.",MD,Business Associate,10766,4/17/14,Unauthorized Access/Disclosure,Network Server,Yes
The Guidance Center of Westchester,NY,Healthcare Provider,1416,4/17/13,Theft,Desktop Computer,No
"Virtua Health, Inc.",NJ,Business Associate,2704,4/16/21,Unauthorized Access/Disclosure,Paper/Films,Yes
Texas MedClinic,TX,Healthcare Provider,6638,4/16/21,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"ElderServe Health, Inc. dba RiverSpring Health Plans",NY,Health Plan,31195,4/16/21,Hacking/IT Incident,Email,No
MailMyPrescriptions.com Pharmacy Corporation,FL,Healthcare Provider,24037,4/16/21,Hacking/IT Incident,Email,No
North Country Hospital,VT,Healthcare Provider,1905,4/16/21,Hacking/IT Incident,Network Server,Yes
Chautauqua County,NY,Healthcare Provider,537,4/16/21,Unauthorized Access/Disclosure,Email,No
Eastern Shore Rural Health System Inc.,VA,Healthcare Provider,23282,4/16/21,Hacking/IT Incident,Network Server,Yes
John A. Grimaldi DO INC,CA,Healthcare Provider,911,4/16/20,Unauthorized Access/Disclosure,Other,No
Advocate Aurora Health,WI,Healthcare Provider,27137,4/16/20,Hacking/IT Incident,Email,No
"Centrelake Medical Group, Inc.",CA,Healthcare Provider,197661,4/16/19,Hacking/IT Incident,Network Server,No
Gardner Family Health Network,CA,Healthcare Provider,5064,4/16/19,Unauthorized Access/Disclosure,Paper/Films,No
"Tower Imaging, LLC",FL,Healthcare Provider,810,4/16/19,Theft,Laptop,No
Delta Dental of Illinois,IL,Health Plan,5092,4/16/19,Hacking/IT Incident,Email,No
Minnesota Eye Consultants,MN,Healthcare Provider,4556,4/16/19,Improper Disposal,Paper/Films,No
Iowa Health System d/b/a UnityPoint Health,IA,Business Associate,16429,4/16/18,Hacking/IT Incident,Email,Yes
"Athens Heart Center, P.C.",GA,Healthcare Provider,12158,4/16/18,Hacking/IT Incident,Electronic Medical Record,No
Cornerstone Foot & Ankle,NJ,Healthcare Provider,533,4/16/18,Unauthorized Access/Disclosure,Email,No
American Sleep Medicine,CA,Healthcare Provider,1787,4/16/15,Theft,Other,No
Concordia Plan Services on behalf of the Concordia Health Plan,MO,Health Plan,12500,4/16/15,Hacking/IT Incident,Network Server,No
Greenwood Leflore Hospital,MS,Healthcare Provider,3750,4/16/14,Theft,Other,No
"DRD Management, Inc. D/B/A DRD Knoxville Medical Clinic - Central",TX,Healthcare Provider,1000,4/16/12,Improper Disposal,Paper/Films,No
Tomah Memorial Hospital,WI,Healthcare Provider,600,4/16/10,Other,Other,No
"Unlimited Medical Services of Florida, LLC  DBA DNF Medical Centers",FL,Healthcare Provider,846,4/15/21,Unauthorized Access/Disclosure,Other,No
Medica Insurance Company,MN,Health Plan,802,4/15/20,Unauthorized Access/Disclosure,Paper/Films,Yes
Medica Health Plans,MN,Health Plan,1710,4/15/20,Unauthorized Access/Disclosure,Paper/Films,Yes
"National Seating & Mobility, Inc.",TN,Healthcare Provider,3800,4/15/19,Hacking/IT Incident,Email,No
"Vail Clinic, Inc. dba Vail Valley Medical Center, and dba Howard Head Sports Medicine",CO,Healthcare Provider,3118,4/15/16,Unauthorized Access/Disclosure,Network Server,No
Atique Orthodontics,OR,Healthcare Provider,1506,4/15/16,Hacking/IT Incident,Desktop Computer,No
Oneida Tribe of Indians of Wisconsin,WI,Healthcare Provider,2734,4/15/16,Theft,Other Portable Electronic Device,No
Administracion de Seguros de Salud - Triple S Salud Inc (BA),PR,Business Associate,46473,4/15/14,Theft,Other Portable Electronic Device,Yes
Triple S Salud Inc.,PR,Business Associate,7911,4/15/14,Theft,Other Portable Electronic Device,Yes
IHS,MD,Health Plan,5000,4/15/14,Unauthorized Access/Disclosure,Other,No
Central Florida Cardiology Group,FL,Healthcare Provider,1186,4/14/22,Hacking/IT Incident,Network Server,Yes
Mountain Area Health Education Center dba MAHEC,NC,Healthcare Provider,1115,4/14/22,Improper Disposal,Paper/Films,No
Neighborhood Healthcare,CA,Healthcare Provider,45200,4/14/21,Hacking/IT Incident,Network Server,Yes
"BioReference Laboratories, Inc.",NJ,Healthcare Provider,1772,4/14/17,Improper Disposal,Paper/Films,No
Western Health Screening,MT,Business Associate,15326,4/14/17,Theft,Other Portable Electronic Device,Yes
"MVP Health Care, Inc.",NY,Health Plan,951,4/14/17,Unauthorized Access/Disclosure,Paper/Films,No
"Healthy Connections, Inc",CA,Healthcare Provider,793,4/14/14,Loss,Other Portable Electronic Device,No
"University Urology, P.C.",TN,Healthcare Provider,1144,4/14/14,Unauthorized Access/Disclosure,Paper/Films,No
IBM,NY,Business Associate,1900000,4/14/11,Unknown,Other,Yes
SW General Inc,AZ,Healthcare Provider,566,4/14/11,Theft,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,1215,4/14/11,Loss,Paper/Films,No
"Affinity Health Plan, Inc.",NY,Health Plan,344579,4/14/10,Theft,Other,No
Hartford HealthCare,CT,Healthcare Provider,2651,4/13/20,Hacking/IT Incident,Email,No
Doctors Community Medical Center,MD,Healthcare Provider,18481,4/13/20,Hacking/IT Incident,Email,No
"Metro Santurce, Inc. d/b/a Hospital Pavia Santurce and Metro Hato Rey, Inc. d/b/a Hospital Pavia Hato Rey",NA,Healthcare Provider,305737,4/13/19,Hacking/IT Incident,Network Server,No
Texas Health Physicians Group,TX,Healthcare Provider,3808,4/13/18,Hacking/IT Incident,Email,No
California Physicians Service d/b/a Blue Shield of California,CA,Health Plan,1717,4/13/18,Unauthorized Access/Disclosure,Email,No
"ATI Holdings, LLC",IL,Business Associate,2645,4/13/18,Hacking/IT Incident,Email,Yes
"MorshedEye, PLLC",KY,Healthcare Provider,1100,4/13/18,Unauthorized Access/Disclosure,Email,No
Area Agency of Aging 1-B,MI,Healthcare Provider,1741,4/13/17,Unauthorized Access/Disclosure,Email,No
Area Agency of Aging 1-B,MI,Healthcare Provider,1741,4/13/17,Unauthorized Access/Disclosure,Email,No
Florida Department of Health,FL,Healthcare Provider,1076,4/13/16,Unauthorized Access/Disclosure,Paper/Films,No
American Fidelity Assurance Company,OK,Health Plan,2664,4/13/16,Unauthorized Access/Disclosure,Paper/Films,No
Suburban Lung Associates,IL,Healthcare Provider,2984,4/13/15,Unauthorized Access/Disclosure,Paper/Films,Yes
"Roy E. Gondo, M.D.",WA,Healthcare Provider,2100,4/13/12,Theft,Electronic Medical Record,No
Memorial Healthcare System,FL,Health Plan,9497,4/13/12,Other,Other,No
Regence,OR,Health Plan,803,4/12/21,Hacking/IT Incident,Email,Yes
"Mid-Cities Home Medical Delivery Service, LLC",TX,Healthcare Provider,4000,4/12/19,Loss,Paper/Films,No
Harbor,OH,Healthcare Provider,29972,4/12/19,Hacking/IT Incident,Email,No
"Questcare Medical Services, PLLC",TX,Healthcare Provider,5573,4/12/19,Hacking/IT Incident,Email,No
Dakota County,MN,Healthcare Provider,1026,4/12/19,Hacking/IT Incident,Email,No
"Polk County Health Services, Inc",IA,Health Plan,1071,4/12/18,Unauthorized Access/Disclosure,Email,No
Madison Street Provider Network,CO,Business Associate,9129,4/12/17,Unauthorized Access/Disclosure,Paper/Films,Yes
United Community & Family Services,CT,Healthcare Provider,1000,4/12/16,Unauthorized Access/Disclosure,Email,No
"OptumRx, Inc.",CA,Healthcare Provider,6229,4/12/16,Theft,Laptop,No
"Sacred Heart Health System, Inc",FL,Healthcare Provider,532,4/12/16,Unauthorized Access/Disclosure,Other,Yes
"Mark Anthony Quintero, M.D., L.L.C.",FL,Healthcare Provider,650,4/12/16,Hacking/IT Incident,Network Server,No
Schneck Medical Center,IN,Healthcare Provider,3131,4/12/13,Unauthorized Access/Disclosure,Other,No
Rhinebeck Health Center/Center for Progressive Medicine,NY,Healthcare Provider,6745,4/12/12,Theft,Network Server,No
IU Medical Group,IN,Healthcare Provider,1000,4/12/12,Improper Disposal,Paper/Films,No
Aiken Community Based Outpatient Clinic,SC,Healthcare Provider,2717,4/12/11,Improper Disposal,Paper/Films,No
"Healthcare Collections - I, LLC",AZ,Business Associate,900,4/11/22,Unauthorized Access/Disclosure,Paper/Films,Yes
"Riverplace Counseling Center, Inc.",MN,Healthcare Provider,11639,4/11/19,Hacking/IT Incident,Network Server,No
Martinsburg VA Medical Center,WV,Healthcare Provider,4882,4/11/19,Unauthorized Access/Disclosure,Paper/Films,No
Atchison Hospital Association,KS,Healthcare Provider,667,4/11/18,Hacking/IT Incident,Network Server,Yes
"Amedisys West Virginia, LLC",WV,Healthcare Provider,611,4/11/17,Improper Disposal,Paper/Films,Yes
Pain Treatment Centers of America,AR,Healthcare Provider,19397,4/11/16,Hacking/IT Incident,Network Server,Yes
BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,MO,Health Plan,2546,4/11/14,Unauthorized Access/Disclosure,Other,No
Oregon Health & Science University,OR,Healthcare Provider,1076,4/11/13,Theft,Laptop,No
John J. Pershing VA Medical Center,MO,Healthcare Provider,589,4/11/13,Theft,Paper/Films,No
Utah Department of Technology Services,UT,Business Associate,780000,4/11/12,Hacking/IT Incident,Network Server,Yes
Oklaholma State Dept. of Health,OK,Healthcare Provider,132940,4/11/11,Theft,Paper/Films,No
Saint Francis Ministries,KS,Healthcare Provider,3680,4/10/20,Hacking/IT Incident,Email,No
Arizona Endocrinology Center,AZ,Healthcare Provider,74122,4/10/20,Unauthorized Access/Disclosure,Electronic Medical Record,No
Corpus Christi Rehabilitation Hospital,TX,Healthcare Provider,507,4/10/20,Hacking/IT Incident,Email,No
"Beacon Health Options, Inc.",MA,Business Associate,6723,4/10/20,Loss,Other Portable Electronic Device,Yes
Rehabilitation Hospital of Southern New Mexico,NM,Healthcare Provider,1843,4/10/20,Hacking/IT Incident,Email,No
UPMC Altoona Regional Health Services,PA,Healthcare Provider,13911,4/10/20,Hacking/IT Incident,Email,No
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,11852,4/10/20,Hacking/IT Incident,Network Server,No
Henry Ford Health System,MI,Healthcare Provider,1658,4/10/18,Loss,Other Portable Electronic Device,No
UnitedHealth Group,MN,Health Plan,896,4/10/18,Unauthorized Access/Disclosure,Paper/Films,No
"ViaTech Publishing Solutions, Inc.",MN,Health Plan,2431,4/10/18,Unauthorized Access/Disclosure,Paper/Films,No
New York State Office of Mental Health,NY,Healthcare Provider,563,4/10/15,Loss,Laptop,No
"St.Vincent Medical Group, Inc.",IN,Healthcare Provider,756,4/10/15,Hacking/IT Incident,Email,No
"Amerigroup Texas, Inc.",VA,Business Associate,75026,4/10/14,Theft,Paper/Films,Yes
Wm. Jennings Bryan Dorn VAMC,SC,Healthcare Provider,7405,4/10/13,Theft,Laptop,No
David Charles Rish,CA,Business Associate,2000,4/10/12,Theft,Other,Yes
HealthLOGIX,MI,Business Associate,555,4/10/12,Unauthorized Access/Disclosure,Paper/Films,Yes
Affinity Health Plan,NY,Health Plan,933,4/10/12,Unauthorized Access/Disclosure,Email,No
"AccentCare Home Health of California, Inc. Medicare # 057564    CA state License # 080000226",CA,Healthcare Provider,1000,4/10/12,Unauthorized Access/Disclosure,Email,No
Health Center Partners of Southern California,CA,Business Associate,337245,4/9/21,Hacking/IT Incident,Network Server,Yes
Minnesota Department of Human Services,MN,Healthcare Provider,10263,4/9/19,Hacking/IT Incident,Email,No
Integrated Rehab Consultants,IL,Healthcare Provider,4292,4/9/18,Unauthorized Access/Disclosure,Network Server,Yes
Denton County Health Department,TX,Healthcare Provider,874,4/9/15,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund",KY,Health Plan,5440,4/9/15,Hacking/IT Incident,Network Server,Yes
Cigna,CT,Business Associate,527,4/9/14,Loss,Paper/Films,Yes
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,979,4/9/14,Loss,Paper/Films,No
Florida Healthy Kids Corporation,FL,Health Plan,580,4/9/14,Unauthorized Access/Disclosure,Paper/Films,No
The Neighborhood Christian Clinic,AZ,Healthcare Provider,9565,4/9/12,Loss,Other Portable Electronic Device,No
Pediatric Sports and Spine Associates,TX,Healthcare Provider,955,4/9/10,Theft,Laptop,No
"McKesson Information Solutions, LLC",GA,Business Associate,660,4/9/10,Other,Paper/Films,Yes
"WellStar Health System, Inc.",GA,Healthcare Provider,30417,4/8/22,Hacking/IT Incident,Email,No
Cadence Aerospace,CA,Health Plan,747,4/8/21,Hacking/IT Incident,Network Server,No
University Health,TX,Healthcare Provider,2704,4/8/21,Unauthorized Access/Disclosure,Network Server,Yes
Harrington Physician Services,MA,Healthcare Provider,4393,4/8/21,Unauthorized Access/Disclosure,Network Server,No
Rehabilitation Hospital of Northwest Ohio,OH,Healthcare Provider,1143,4/8/19,Hacking/IT Incident,Email,No
Weslaco Regional Rehabilitation Hospital,TX,Healthcare Provider,1434,4/8/19,Hacking/IT Incident,Email,No
"BioReference Laboratories, Inc",NJ,Healthcare Provider,3563,4/8/16,Unauthorized Access/Disclosure,Other,No
Union Security Insurance Company,MO,Health Plan,935,4/8/11,Unauthorized Access/Disclosure,Other,No
Aloha Practice Management LLC,CA,Business Associate,3835,4/7/21,Hacking/IT Incident,Network Server,Yes
EVERSANA,WI,Healthcare Provider,5000,4/7/20,Hacking/IT Incident,Email,No
"Colorado Department of Human Services, Office of Behavioral Health",CO,Healthcare Provider,8132,4/7/20,Unauthorized Access/Disclosure,Network Server,No
"Healthcare Resource Group, Inc.",WA,Business Associate,5387,4/7/20,Hacking/IT Incident,Email,Yes
Andrews Braces,NV,Healthcare Provider,16622,4/7/20,Hacking/IT Incident,Network Server,No
"Doctors HealthCare Plans, Inc.",FL,Health Plan,500,4/7/20,Hacking/IT Incident,Email,No
Cardiology Center of Acadiana,LA,Healthcare Provider,9681,4/7/17,Hacking/IT Incident,Network Server,No
Indian Health Service Northern Navajo Medical Center,NM,Health Plan,7421,4/7/16,Theft,Paper/Films,No
RMA Medical Centers of Florida,FL,Healthcare Provider,3906,4/7/16,Theft,Laptop,No
ADT LLC Group Health & Welfare Plan,FL,Health Plan,3074,4/7/15,Hacking/IT Incident,Network Server,No
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,695,4/6/22,Unauthorized Access/Disclosure,Network Server,Yes
Central Vermont Eye Care,VT,Healthcare Provider,29892,4/6/22,Hacking/IT Incident,Other,Yes
"Winona Agency, Inc.",MN,Business Associate,3306,4/6/21,Hacking/IT Incident,Email,Yes
Maritz Holdings Inc.,MO,Health Plan,1298,4/6/21,Unauthorized Access/Disclosure,Email,No
"New Jersey Urology, LLC",NJ,Healthcare Provider,3000,4/6/20,Hacking/IT Incident,Email,No
CA Department of Developmental Services,CA,Health Plan,582174,4/6/18,Theft,Paper/Films,No
Walgreen Co.,IL,Healthcare Provider,910,4/6/18,Theft,Other Portable Electronic Device,No
Chesapeake Regional Medical Center,VA,Healthcare Provider,2100,4/6/18,Theft,Other Portable Electronic Device,No
Allina Health,MN,Healthcare Provider,838,4/6/15,Unauthorized Access/Disclosure,Paper/Films,No
St. Elizabeth's Medical Center,MA,Healthcare Provider,6831,4/6/12,Loss,Paper/Films,No
County of Wayne Department of Personnel/Human Resources Benefits Administration Division,MI,Health Plan,1229,4/6/12,Unauthorized Access/Disclosure,Email,No
"Patient Care Services at Saint Francis, Inc.",OK,Healthcare Provider,84000,4/6/11,Theft,Network Server,No
"The Guidance Center, Inc.",AZ,Healthcare Provider,23104,4/5/22,Hacking/IT Incident,Email,No
"Administrative Advantage, LLC",GA,Business Associate,4852,4/5/21,Hacking/IT Incident,Email,Yes
Southern Orthopaedic Surgeons,AL,Healthcare Provider,4983,4/5/21,Hacking/IT Incident,Email,No
Dallas County Mental Health Mental Retardation Center dba Metrocare Services,TX,Healthcare Provider,5290,4/5/19,Hacking/IT Incident,Email,No
Baystate Health,MA,Healthcare Provider,11658,4/5/19,Hacking/IT Incident,Email,No
University Hospitals Rainbow Babies & Children's Hospital,OH,Healthcare Provider,838,4/5/19,Unauthorized Access/Disclosure,Email,No
"Gulf Coast Pain Consultants, LLC d/b/a Clearway Pain Solutions Institute",FL,Healthcare Provider,35000,4/5/19,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Health Recovery Services, Inc.",OH,Healthcare Provider,20485,4/5/19,Hacking/IT Incident,Network Server,No
"Klaussner Furniture Industries, Inc. Employee Benefits Plan (through its sponsor, Klaussner Furniture Industries, Inc.)",NC,Health Plan,9352,4/5/19,Hacking/IT Incident,Network Server,No
"Diagnostic Radiology & Imaging, LLC",NC,Healthcare Provider,800,4/5/18,Hacking/IT Incident,Email,No
Pacific Gas and Electric Company,CA,Business Associate,2426,4/5/16,Unauthorized Access/Disclosure,Paper/Films,Yes
Target Corporation Health Plan,MN,Business Associate,719,4/5/16,Unauthorized Access/Disclosure,Paper/Films,Yes
Sisters of Charity of Leavenworth Health System Health Benefits Plan,CO,Business Associate,540,4/5/16,Unauthorized Access/Disclosure,Paper/Films,Yes
TMG Health,PA,Business Associate,3794,4/5/13,Unauthorized Access/Disclosure,Paper/Films,Yes
"Texas Health Care, P.L.L.C.",TX,Healthcare Provider,554,4/5/13,Theft,Paper/Films,No
Hartford Hospital,CT,Business Associate,93500,4/5/11,Theft,Other,Yes
Providence Hospital,MI,Healthcare Provider,83945,4/5/10,Other,Other,No
VHS Genesis Lab Inc.,IL,Healthcare Provider,6800,4/5/10,Loss,Paper/Films,No
Carson Valley Medical Center,NV,Healthcare Provider,11368,4/4/17,Unauthorized Access/Disclosure,Email,No
"University of Oklahoma, OU Physicians",OK,Healthcare Provider,1637,4/4/17,Unauthorized Access/Disclosure,Email,No
Ashland Women's Health,KY,Healthcare Provider,19727,4/4/17,Hacking/IT Incident,Network Server,No
Presence St. Joseph's Medical Center,IL,Healthcare Provider,836,4/4/14,Other,Paper/Films,No
Hospice and Palliative Care Center of Alamance Caswell,NC,Healthcare Provider,5370,4/4/13,Unauthorized Access/Disclosure,Paper/Films,No
PORTAL HEALTHCARE SOLUTIONS LLC,VA,Business Associate,2360,4/4/13,Theft,Network Server,Yes
Lake Granbury Medicl Ceter,TX,Healthcare Provider,502,4/4/12,Theft,Paper/Films,No
"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,Healthcare Provider,10000,4/4/11,Theft,Other,No
"Child, Family and Community Services, Inc.",CA,Health Plan,1658,4/3/20,Theft,Other Portable Electronic Device,No
University of Utah,UT,Healthcare Provider,5000,4/3/20,Hacking/IT Incident,Email,No
OB Pharmacy,CA,Healthcare Provider,3241,4/3/19,Hacking/IT Incident,Desktop Computer,No
Wisconsin Department of Health Services,WI,Health Plan,779,4/3/18,Theft,Laptop,Yes
Memorial Healthcare,MI,Healthcare Provider,685,4/3/17,Unauthorized Access/Disclosure,Paper/Films,Yes
"Elizabeth Kerner, M.D.",TX,Healthcare Provider,873,4/3/15,Unauthorized Access/Disclosure,Email,No
SUPERVALU Group Health Plan,MN,Health Plan,10946,4/3/15,Hacking/IT Incident,Network Server,Yes
Health Plan sponsored by Covenant Ministries of Benevolance,IL,Health Plan,782,4/3/15,Hacking/IT Incident,Network Server,Yes
Children's Heart Center,NV,Healthcare Provider,8791,4/3/15,Unauthorized Access/Disclosure,Electronic Medical Record,No
Michigan Department of Community Health,MI,Healthcare Provider,2595,4/3/14,Theft,Other Portable Electronic Device,No
American Health Inc.,PR,Health Plan,17776,4/3/14,Theft,Other,No
Kmart Corporation,IL,Healthcare Provider,12542,4/3/13,Theft,Electronic Medical Record,No
University of Florida,FL,Healthcare Provider,14519,4/3/13,Unauthorized Access/Disclosure,Network Server,No
CenterLight Healthcare,NY,Health Plan,642,4/3/12,Unauthorized Access/Disclosure,Email,No
Bricker & Eckler LLP,OH,Business Associate,420532,4/2/21,Hacking/IT Incident,Network Server,Yes
Cornerstone Municipal Advisory Group LLC dba Manquen Vance,MI,Business Associate,7018,4/2/21,Hacking/IT Incident,Email,Yes
Belden Inc.,MO,Health Plan,9840,4/2/21,Hacking/IT Incident,Network Server,No
Squirrel Hill Health Center,PA,Healthcare Provider,23869,4/2/21,Hacking/IT Incident,Network Server,No
Oregon Endodontic Group,OR,Healthcare Provider,2952,4/2/19,Hacking/IT Incident,Email,No
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,11552,4/2/18,Unauthorized Access/Disclosure,Paper/Films,Yes
West Kendall Baptist Hospital,FL,Healthcare Provider,1480,4/2/18,Unauthorized Access/Disclosure,Other,No
QUALITY-CARE PHARMACY,CA,Healthcare Provider,2000,4/2/18,Theft,Other,No
Tulare County Health & Human Services Agency,CA,Healthcare Provider,845,4/2/15,Unauthorized Access/Disclosure,Email,No
Western Montana Clinic,MT,Healthcare Provider,7038,4/2/15,Hacking/IT Incident,Network Server,No
City of Philadelphia Fire Department Emergency Medical Services Unit,PA,Healthcare Provider,81463,4/2/15,Unauthorized Access/Disclosure,Paper/Films,Yes
CDC/NIOSH World Trade Center Health Program (WTCHP),GA,Health Plan,958,4/2/15,Unauthorized Access/Disclosure,Paper/Films,No
PIH Health Hospital - Whittier,CA,Healthcare Provider,826,4/2/15,Theft,Paper/Films,No
Schaeffler Group USA,SC,Health Plan,550,4/2/15,Hacking/IT Incident,Network Server,No
Cigna-HealthSpring,TN,Health Plan,862,4/2/15,Unauthorized Access/Disclosure,Paper/Films,No
VA Eastern Colorado Health Care System(ECHCS),CO,Healthcare Provider,508,4/2/15,Unauthorized Access/Disclosure,Paper/Films,No
Triple-S Salud,PR,Health Plan,5795,4/2/14,Theft,Other,No
KP Northern CA Department of Research,CA,Healthcare Provider,5178,4/2/14,Hacking/IT Incident,Network Server,No
"Shands Jacksonville Medical Center, Inc.",FL,Healthcare Provider,1025,4/2/13,Theft,Electronic Medical Record,No
University of Pittsburgh Student Health Center,PA,Healthcare Provider,8000,4/2/10,Theft,Paper/Films,No
Fort HealthCare Inc.,WI,Healthcare Provider,784,4/1/21,Hacking/IT Incident,Other,Yes
MedData Incorporated,TX,Business Associate,135908,4/1/21,Unauthorized Access/Disclosure,Other,Yes
"International Rehabilitative Sciences Inc., dba RS Medical",WA,Healthcare Provider,1911,4/1/19,Hacking/IT Incident,Email,No
"Myriad Genetic Laboratories, Inc.",UT,Healthcare Provider,1719,4/1/19,Unauthorized Access/Disclosure,Email,No
Regional Health Medical Clinic - Flormann Street,SD,Healthcare Provider,696,4/1/19,Unauthorized Access/Disclosure,Paper/Films,No
Einstein Healthcare Network,PA,Healthcare Provider,2939,4/1/16,Unauthorized Access/Disclosure,Other,No
"Pointe Medical Services, Inc.",FL,Healthcare Provider,2000,4/1/16,Theft,Other Portable Electronic Device,No
"Aurora Health Care, Inc.",WI,Healthcare Provider,869,4/1/16,Unauthorized Access/Disclosure,Network Server,Yes
Indian Health Service,MD,Health Plan,214000,4/1/14,Unauthorized Access/Disclosure,Laptop,No
"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,Healthcare Provider,2773,4/1/10,Theft,Other Portable Electronic Device,No
Health Prime International,MD,Business Associate,17562,3/31/21,Hacking/IT Incident,Network Server,Yes
Memorial Sloan Kettering Cancer Center,NY,Healthcare Provider,18913,3/31/21,Unauthorized Access/Disclosure,Network Server,Yes
"Three Lower Counties Community Services, Inc. d/b/a Chesapeake Health Care",MD,Healthcare Provider,2505,3/31/21,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"Confidio, LLC",MD,Business Associate,14016,3/31/20,Hacking/IT Incident,Email,Yes
Washington University School of Medicine,MO,Healthcare Provider,14795,3/31/20,Hacking/IT Incident,Email,No
Affordacare Urgent Care Clinics,TX,Healthcare Provider,57411,3/31/20,Hacking/IT Incident,Network Server,No
"Apex EDI, Inc.",UT,Business Associate,1132,3/31/17,Hacking/IT Incident,Network Server,Yes
"Skin Cancer Specialists, P.C.",GA,Healthcare Provider,3365,3/31/17,Hacking/IT Incident,Network Server,No
Women's Care of Somerset,KY,Healthcare Provider,1806,3/31/17,Unauthorized Access/Disclosure,Email,No
"Triple S Advantage, Inc",PR,Health Plan,1458,3/31/15,Unauthorized Access/Disclosure,Other,No
"Midwest Orthopaedics at Rush, LLC",IL,Healthcare Provider,1256,3/31/14,Hacking/IT Incident,Email,No
"Policy Studies, Inc. / Postal Center International, Inc.",FL,Business Associate,580,3/31/14,Unauthorized Access/Disclosure,Paper/Films,Yes
Medical Center of Plano,TX,Business Associate,1000,3/31/14,Unauthorized Access/Disclosure,Other,Yes
Trisha Elaine Cordova,AK,Business Associate,1700,3/31/11,Theft,Laptop,Yes
"Park Avenue Obstetrics & Gynecology, PC",AZ,Healthcare Provider,635,3/31/11,Theft,Other,No
