entity,state,type,affected,date,incident,location,business_associate
"Nonstop Administration and Insurance Services, Inc.",PA,Business Associate,8571,3/27/23,Hacking/IT Incident,Network Server,Yes
"American Pain and Wellness, PLLC",TX,Healthcare Provider,7457,3/24/23,Hacking/IT Incident,Network Server,No
NewBridge Services,NJ,Healthcare Provider,1457,3/24/23,Hacking/IT Incident,Network Server,No
Atlantic General Hospital,MD,Healthcare Provider,26591,3/24/23,Hacking/IT Incident,Network Server,No
Frideres Dental LLC,OR,Healthcare Provider,1596,3/24/23,Hacking/IT Incident,Email,No
New Medical Healthcare,KS,Healthcare Provider,1557,3/22/23,Unauthorized Access/Disclosure,Email,No
US Wellness Inc.,MD,Business Associate,15818,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Mattoo and Bhat Medical Associates ,NY,Business Associate,3851,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - West Nassau Dialysis Center Inc. ,NY,Business Associate,795,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Springfield Dialysis Center ,NY,Business Associate,922,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Ridgewood Dialysis Center Inc.,NY,Business Associate,2204,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - 522012,NY,Business Associate,563,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Newtown Dialysis Center Inc.  ,NY,Business Associate,970,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - New York Renal Associates ,NY,Business Associate,1126,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - New Hyde Park Dialysis Center LLC ,NY,Business Associate,1119,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Morrisania Dialysis Center  ,NY,Business Associate,653,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - East End Dialysis Center LLC ,NY,Business Associate,745,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Central Park Dialysis Center  ,NY,Business Associate,1345,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Central Brooklyn Dialysis Center LLC ,NY,Business Associate,1052,3/22/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Broadway Dialysis Center  ,NY,Business Associate,776,3/21/23,Hacking/IT Incident,Network Server,Yes
Atlantic Dialysis Management Services - Astoria Dialysis Center  ,NY,Business Associate,3851,3/21/23,Hacking/IT Incident,Network Server,Yes
"McAllen Hospitals, LP d/b/a South Texas Health System",TX,Healthcare Provider,500,3/20/23,Hacking/IT Incident,Email,No
NewYork-Presbyterian Hospital,NY,Healthcare Provider,54396,3/20/23,Unauthorized Access/Disclosure,Network Server,No
"Integrated Supports for Living, Inc.",OR,Healthcare Provider,1161,3/20/23,Hacking/IT Incident,Network Server,No
Majestic Care Middletown Assisted Living LLC,IN,Healthcare Provider,2636,3/17/23,Hacking/IT Incident,Network Server,No
"OU Medicine, Inc. d/b/a OU Health",OK,Healthcare Provider,3013,3/17/23,Theft,Laptop,No
Health Plan of San Mateo,CA,Health Plan,11894,3/17/23,Hacking/IT Incident,Email,No
Associates in Dermatology,KY,Healthcare Provider,8517,3/17/23,Hacking/IT Incident,Network Server,Yes
"Community Health Systems Professional Services Corporations (CHSPSC), LLC",TN,Business Associate,962884,3/16/23,Hacking/IT Incident,Network Server,Yes
UC San Diego Health ,CA,Healthcare Provider,23000,3/16/23,Unauthorized Access/Disclosure,Network Server,Yes
"AllCare Plus Pharmacy, Inc.",MA,Healthcare Provider,757,3/15/23,Hacking/IT Incident,Email,No
Healthy Options dba Postal Prescription Services – Kroger ,OH,Healthcare Provider,82466,3/15/23,Unauthorized Access/Disclosure,Network Server,No
Merritt Healthcare Advisors,CT,Business Associate,77258,3/15/23,Hacking/IT Incident,Email,Yes
California Department of Health Care Services,CA,Health Plan,6460,3/14/23,Unauthorized Access/Disclosure,Paper/Films,Yes
Top of the World Ranch Treatment Center,IL,Healthcare Provider,1980,3/14/23,Hacking/IT Incident,Email,No
NorthStar Emergency Medical Services,AL,Healthcare Provider,82450,3/14/23,Hacking/IT Incident,Network Server,No
Beach District Surgery Center,CA,Healthcare Provider,3560,3/13/23,Hacking/IT Incident,Email,Yes
"Bone & Joint Clinic, S.C.",WI,Healthcare Provider,105094,3/13/23,Hacking/IT Incident,Network Server,No
"Ryu Physical Therapy, P.C.",CA,Healthcare Provider,500,3/11/23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
ZOLL Services LLC ,MA,Healthcare Provider,997097,3/10/23,Hacking/IT Incident,Network Server,No
"Florida Medical Clinic, LLC",FL,Healthcare Provider,94132,3/10/23,Hacking/IT Incident,Network Server,No
"Colquitt Complete Care, LLC",GA,Healthcare Provider,1282,3/10/23,Hacking/IT Incident,Network Server,Yes
"Department of Economic Security, Division of Developmental Disabilities",AZ,Healthcare Provider,857,3/10/23,Unauthorized Access/Disclosure,Paper/Films,No
Beacon Health System,IN,Healthcare Provider,3117,3/10/23,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Wichita Urology Group, PA (“WUG”) ",KS,Healthcare Provider,1493,3/8/23,Hacking/IT Incident,Network Server,No
"EPIC Management, LLC",CA,Health Plan,1190,3/8/23,Hacking/IT Incident,Email,No
Community Health Centers of Greater Dayton,OH,Healthcare Provider,516,3/8/23,Unauthorized Access/Disclosure,Email,No
The M K Morse Company's Health Plan,OH,Health Plan,1378,3/8/23,Hacking/IT Incident,Network Server,No
"SundaySky, Inc.",NY,Business Associate,37095,3/7/23,Hacking/IT Incident,Network Server,Yes
Trinity Health,MI,Business Associate,45350,3/6/23,Hacking/IT Incident,Email,Yes
The Chautauqua Center Inc.,NY,Healthcare Provider,745,3/6/23,Unauthorized Access/Disclosure,Electronic Medical Record,Yes
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,3/6/23,Hacking/IT Incident,Network Server,No
Codman Square Health Center,MA,Healthcare Provider,10161,3/1/23,Hacking/IT Incident,Network Server,No
