Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Walgreen Co.,IL,Healthcare Provider,8345,08/07/2015,Unauthorized Access/Disclosure,Paper/Films,No
Baylor College of Medicine,TX,Healthcare Provider,1004,08/07/2015,Theft,"Other Portable Electronic Device, Paper/Films",No
"Max M Bayard MD, PC",VT,Healthcare Provider,2000,08/07/2015,Theft,"Laptop, Other Portable Electronic Device",No
T.J. Samson Community Hospital,KY,Healthcare Provider,2060,08/07/2015,Unauthorized Access/Disclosure,Email,No
Lawrence General Hospital,MA,Healthcare Provider,2071,08/05/2015,Loss,Other Portable Electronic Device,No
VA Black Hills Health Care System,SD,Healthcare Provider,1168,08/04/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Orlantino Dyoco, M.D.",CA,Healthcare Provider,9000,08/03/2015,Theft,"Desktop Computer, Laptop",No
North East Medical Services (NEMS),CA,Healthcare Provider,69246,07/31/2015,Theft,Laptop,No
"Siouxland Anesthesiology, Ltd.",SD,Healthcare Provider,13000,07/31/2015,Hacking/IT Incident,Network Server,No
Sioux Falls VA Health Care System,SD,Healthcare Provider,1111,07/30/2015,Loss,Paper/Films,No
"Prima CARE, PC",MA,Healthcare Provider,1651,07/29/2015,Unauthorized Access/Disclosure,Paper/Films,No
East Bay Perinatal Medical Associates,CA,Business Associate,1494,07/29/2015,Unauthorized Access/Disclosure,Laptop,Yes
The McLean Hospital Corporation,MA,Healthcare Provider,12673,07/28/2015,Loss,Other Portable Electronic Device,No
OhioHealth,OH,Healthcare Provider,1006,07/24/2015,Loss,Other Portable Electronic Device,No
"Advanced Radiology Consultants, LLC",CT,Healthcare Provider,855,07/24/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Healthfirst Affiliates that include Healthfirst PHSP, Inc., Managed Health, Inc., HF Management Services, LLC, and Senior Health Partners",NY,Health Plan,5338,07/24/2015,Hacking/IT Incident,Electronic Medical Record,No
"Urology Associates, Professional Corporation",MT,Healthcare Provider,6500,07/24/2015,Unauthorized Access/Disclosure,Paper/Films,No
Medical Informatics Engineering,IN,Business Associate,3500000,07/23/2015,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes
Montefiore Medical Center,NY,Healthcare Provider,12517,07/22/2015,Theft,Electronic Medical Record,No
Special Agents Mutual Benefit Association,MD,Health Plan,1475,07/20/2015,Hacking/IT Incident,Network Server,Yes
"University of California, Los Angeles Health",CA,Healthcare Provider,4500000,07/17/2015,Hacking/IT Incident,Network Server,No
Arkansas Blue Cross and Blue Shield,AR,Health Plan,560,07/14/2015,Theft,Desktop Computer,Yes
Maricopa Special  Health Care District - Maricopa Integrated Health System,AZ,Healthcare Provider,633,07/14/2015,Loss,Other Portable Electronic Device,No
Mayo Clinic Health System- Red Wing,MN,Healthcare Provider,601,07/13/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Amsterdam Nursing Home Corporation (1992),NY,Healthcare Provider,621,07/10/2015,Loss,Paper/Films,Yes
Howard University,DC,Healthcare Provider,1445,07/10/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Integral Health Plan, Inc.",FL,Health Plan,7549,07/10/2015,Unauthorized Access/Disclosure,Paper/Films,Yes
Massachusetts General Hospital,MA,Healthcare Provider,648,07/08/2015,Unauthorized Access/Disclosure,Email,No
Georgia Department of Human Services,GA,Health Plan,2983,07/08/2015,Unauthorized Access/Disclosure,Email,No
FireKeepers Casino Hotel,MI,Health Plan,7666,07/03/2015,Hacking/IT Incident,Network Server,No
"University of Oklahoma, Department of Obstetrics and Gynecology",OK,Healthcare Provider,7693,07/03/2015,Theft,Laptop,No
Orlando Health,FL,Healthcare Provider,3421,07/02/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
UPMC Health Plan,PA,Health Plan,722,07/02/2015,Unauthorized Access/Disclosure,Email,No
"Meritus Medical Center, Inc.",MD,Healthcare Provider,1029,06/26/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
CVS Health,RI,Healthcare Provider,12914,06/26/2015,Theft,Desktop Computer,No
Episcopal Health Services Inc. d/b/a St. John's Episcopal Hospital,NY,Healthcare Provider,509,06/25/2015,Theft,Electronic Medical Record,Yes
"Heartland Dental, LLC",IL,Business Associate,2860,06/24/2015,Hacking/IT Incident,Network Server,Yes
"Central Brooklyn Medical Group, PC",NY,Healthcare Provider,4223,06/19/2015,Unauthorized Access/Disclosure,Other,No
University of California Irvine Medical Center,CA,Healthcare Provider,4859,06/17/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
St. Martin Parish School Based Health Centers,LA,Healthcare Provider,3000,06/15/2015,Theft,"Desktop Computer, Electronic Medical Record, Laptop",No
"Global Care Delivery, Inc.",TX,Business Associate,18213,06/12/2015,Theft,Laptop,Yes
"National Seating & Mobility, Inc.",TN,Healthcare Provider,9627,06/12/2015,Theft,"Email, Laptop, Paper/Films",No
The Department of Aging and Disability Services,TX,Health Plan,6600,06/11/2015,Unauthorized Access/Disclosure,Network Server,No
"Implants, Dentures & Dental",NV,Healthcare Provider,12000,06/10/2015,Theft,"Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device",No
"United Seating and Mobility, LLC d/b/a Numotion",CT,Healthcare Provider,2722,06/10/2015,Theft,Laptop,No
California Physicians' Service d/b/a Blue Shield of California,CA,Health Plan,843,06/09/2015,Unauthorized Access/Disclosure,Network Server,No
"Keystone Pharmacy, Inc.",MD,Healthcare Provider,500,06/09/2015,Unauthorized Access/Disclosure,"Other, Paper/Films",No
"Truman Medical Center, Incorporated",MO,Healthcare Provider,503,06/09/2015,Unauthorized Access/Disclosure,Other,No
Fred Finch Youth Center,CA,Healthcare Provider,6871,06/05/2015,Theft,"Network Server, Other",No
Stanislaus Surgical Hospital,CA,Healthcare Provider,1170,06/04/2015,Theft,"Desktop Computer, Other Portable Electronic Device, Paper/Films",No
Lancaster County EMS,SC,Healthcare Provider,50000,06/04/2015,Improper Disposal,Other Portable Electronic Device,No
"Gallant Risk & Insurance Services, Inc.",CA,Business Associate,995,06/03/2015,Theft,Laptop,Yes
Rite Aid Corporation,PA,Healthcare Provider,2345,06/03/2015,Theft,"Other, Paper/Films",No
Oregon's Health CO-OP,OR,Health Plan,14000,06/01/2015,Theft,Laptop,No
New York City Health and Hospitals Corporation - Metropolitan Hospital Center,NY,Healthcare Provider,3957,06/01/2015,Unauthorized Access/Disclosure,Email,No
BUFFALO HEART GROUP,NY,Healthcare Provider,567,05/28/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
University of Rochester Medical Center and Affiliates,NY,Healthcare Provider,3403,05/22/2015,Unauthorized Access/Disclosure,Paper/Films,No
Beacon Health System,IN,Healthcare Provider,306789,05/22/2015,Hacking/IT Incident,Email,No
Thomas H. Boyd Memorial Hospital,IL,Healthcare Provider,8300,05/21/2015,Unauthorized Access/Disclosure,Paper/Films,No
CareFirst Blue Cross Blue Shield,MD,Health Plan,1300000,05/20/2015,Hacking/IT Incident,Network Server,No
"Success 4 Kids & Families, Inc.",FL,Healthcare Provider,506,05/20/2015,Theft,Laptop,No
"Sharon J. Jones, M.D.",CA,Business Associate,1342,05/19/2015,Theft,"Desktop Computer, Laptop, Paper/Films",Yes
Alexian Brothers Medical Center,IL,Healthcare Provider,632,05/19/2015,Unauthorized Access/Disclosure,Desktop Computer,No
Associated Dentists-Roseville Office,MN,Healthcare Provider,4725,05/18/2015,Theft,Laptop,No
Aflac,GA,Health Plan,6166,05/15/2015,Unauthorized Access/Disclosure,Paper/Films,No
The MetroHealth System,OH,Healthcare Provider,981,05/15/2015,Hacking/IT Incident,Desktop Computer,No
Duke LifePoint Conemaugh Memorial Medical Center,PA,Healthcare Provider,1551,05/15/2015,Theft,Desktop Computer,No
"Medical Management, LLC (MML)",NC,Business Associate,20512,05/15/2015,Theft,Other,Yes
UPMC,PA,Healthcare Provider,2259,05/15/2015,Theft,Other,Yes
"Unity Recovery Group, Inc.,Starting Point Detox LLC, Lakeside Treatment Center LLC, Changing Tides Transitional Living LLC, Unity Recovery Center, Inc",FL,Healthcare Provider,1000,05/11/2015,Unauthorized Access/Disclosure,"Email, Network Server, Other Portable Electronic Device",No
Ventura County Health Care Agency,CA,Healthcare Provider,1339,05/06/2015,Loss,Paper/Films,No
Walgreen Co.,IL,Healthcare Provider,1138,05/01/2015,Loss,Paper/Films,No
"Partners HealthCare System, Inc.",MA,Healthcare Provider,3321,05/01/2015,Hacking/IT Incident,Network Server,No
County of Los Angeles,CA,Healthcare Provider,880,04/29/2015,Theft,Paper/Films,No
Jacobi Medical Center,NY,Healthcare Provider,90060,04/28/2015,Unauthorized Access/Disclosure,Email,No
Bellevue Hospital Center,NY,Healthcare Provider,3334,04/28/2015,Unauthorized Access/Disclosure,Email,No
"Consolidated Tribal Health Project, Inc.",CA,Healthcare Provider,4885,04/28/2015,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device",No
University of Illinois at Chicago,IL,Healthcare Provider,3000,04/28/2015,Theft,Laptop,No
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,864,04/28/2015,Loss,Paper/Films,No
"CEMEX, Inc.",TX,Health Plan,880,04/27/2015,Hacking/IT Incident,Network Server,Yes
Community Mercy Health Partners,OH,Healthcare Provider,2000,04/27/2015,Unauthorized Access/Disclosure,Paper/Films,No
Wellmont Health System,TN,Healthcare Provider,1726,04/24/2015,Improper Disposal,"Other, Paper/Films",No
Seton Family of Hospitals,TX,Healthcare Provider,39000,04/24/2015,Hacking/IT Incident,Email,No
"Saint Agnes Health Care, Inc.",MD,Healthcare Provider,24967,04/24/2015,Hacking/IT Incident,Email,No
CompuNet Clinical Laboratories,OH,Healthcare Provider,2584,04/23/2015,Loss,Paper/Films,No
Puerto Rico Department of Heatlh - Medicaid Program,NA,Health Plan,500,04/22/2015,Theft,Other,No
Jersey City Medical Center,NJ,Healthcare Provider,1447,04/17/2015,Unauthorized Access/Disclosure,Email,No
American Sleep Medicine,CA,Healthcare Provider,1787,04/16/2015,Theft,Other,No
Concordia Plan Services on behalf of the Concordia Health Plan,MO,Health Plan,12500,04/16/2015,Hacking/IT Incident,Network Server,No
Suburban Lung Associates,IL,Healthcare Provider,2984,04/13/2015,Unauthorized Access/Disclosure,Paper/Films,Yes
New York State Office of Mental Health,NY,Healthcare Provider,563,04/10/2015,Loss,Laptop,No
"St.Vincent Medical Group, Inc.",IN,Healthcare Provider,756,04/10/2015,Hacking/IT Incident,Email,No
Denton County Health Department,TX,Healthcare Provider,874,04/09/2015,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund",KY,Health Plan,5440,04/09/2015,Hacking/IT Incident,Network Server,Yes
ADT LLC Group Health & Welfare Plan,FL,Health Plan,3074,04/07/2015,Hacking/IT Incident,Network Server,No
Allina Health,MN,Healthcare Provider,838,04/06/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Elizabeth Kerner, M.D.",TX,Healthcare Provider,873,04/03/2015,Unauthorized Access/Disclosure,Email,No
SUPERVALU Group Health Plan,MN,Health Plan,10946,04/03/2015,Hacking/IT Incident,Network Server,Yes
Health Plan sponsored by Covenant Ministries of Benevolance,IL,Health Plan,782,04/03/2015,Hacking/IT Incident,Network Server,Yes
Children's Heart Center,NV,Healthcare Provider,8791,04/03/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Tulare County Health & Human Services Agency,CA,Healthcare Provider,845,04/02/2015,Unauthorized Access/Disclosure,Email,No
Western Montana Clinic,MT,Healthcare Provider,7038,04/02/2015,Hacking/IT Incident,Network Server,No
City of Philadelphia Fire Department Emergency Medical Services Unit,PA,Healthcare Provider,81463,04/02/2015,Unauthorized Access/Disclosure,"Desktop Computer, Paper/Films",Yes
CDC/NIOSH World Trade Center Health Program (WTCHP),GA,Health Plan,958,04/02/2015,Unauthorized Access/Disclosure,Paper/Films,No
PIH Health Hospital - Whittier,CA,Healthcare Provider,826,04/02/2015,Theft,Paper/Films,No
Schaeffler Group USA,SC,Health Plan,550,04/02/2015,Hacking/IT Incident,Network Server,No
Cigna-HealthSpring,TN,Health Plan,862,04/02/2015,Unauthorized Access/Disclosure,Paper/Films,No
VA Eastern Colorado Health Care System(ECHCS),CO,Healthcare Provider,508,04/02/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Triple S Advantage, Inc",PR,Health Plan,1458,03/31/2015,Unauthorized Access/Disclosure,Other,No
Project Vida Health Center,TX,Healthcare Provider,7700,03/27/2015,Theft,Network Server,No
New,FL,Health Plan,500,03/27/2015,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
"7-Eleven, Inc. Comprehensive Welfare Benefits Plan No. 525",TX,Health Plan,1688,03/25/2015,Hacking/IT Incident,Network Server,Yes
McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan,IL,Health Plan,880,03/24/2015,Hacking/IT Incident,Network Server,Yes
Pediatric Associates,FL,Healthcare Provider,627,03/24/2015,Loss,Paper/Films,No
Freelancers Insurance Company,NY,Health Plan,43068,03/24/2015,Hacking/IT Incident,Network Server,No
AT&T Group Health Plan,TX,Health Plan,50000,03/23/2015,Hacking/IT Incident,Network Server,No
Life Care Center of Attleboro,MA,Healthcare Provider,2473,03/20/2015,Loss,Paper/Films,Yes
Mount Sinai Medical Center,FL,Healthcare Provider,1406,03/20/2015,Unauthorized Access/Disclosure,Paper/Films,No
Florida Hospital,FL,Healthcare Provider,8700,03/20/2015,Unauthorized Access/Disclosure,Other,No
Community Health Network,IN,Healthcare Provider,650,03/20/2015,Loss,Paper/Films,No
Kane Hall Barry Neurology,TX,Healthcare Provider,600,03/19/2015,Theft,Laptop,No
Career Education Corporation,IL,Health Plan,2743,03/19/2015,Hacking/IT Incident,Network Server,Yes
Advantage Consolidated LLC,OR,Healthcare Provider,151626,03/18/2015,Hacking/IT Incident,Other,No
Blue Cross Blue Shield of Michigan,MI,Health Plan,3903,03/17/2015,Theft,Paper/Films,No
Premera Blue Cross,WA,Health Plan,11000000,03/17/2015,Hacking/IT Incident,Network Server,No
"Sacred Heart Health System, Inc.",FL,Healthcare Provider,14177,03/16/2015,Hacking/IT Incident,Email,Yes
EyeCare of Bartlesville,OK,Healthcare Provider,4000,03/13/2015,Hacking/IT Incident,"Desktop Computer, Network Server",No
Virginia Department of Medical Assistance Services (VA-DMAS),VA,Health Plan,697586,03/12/2015,Hacking/IT Incident,Network Server,Yes
Dr. Anthony T. R. Green DDS,NY,Healthcare Provider,7448,03/11/2015,Unauthorized Access/Disclosure,"Other, Paper/Films",No
San Franciso General Hospital and Trauma Center,CA,Healthcare Provider,2500,03/06/2015,Theft,Other,No
Indiana State Medical Association,IN,Health Plan,38351,03/06/2015,Theft,Other Portable Electronic Device,No
Valley COmmunity Healthcare,CA,Healthcare Provider,1233,03/06/2015,Loss,Laptop,No
Sharon J. Jones M.D.,CA,Healthcare Provider,1342,03/05/2015,Theft,Paper/Films,Yes
Mosaic Medical,OR,Healthcare Provider,2207,03/05/2015,Unauthorized Access/Disclosure,Paper/Films,No
St. Mary's Health,IN,Healthcare Provider,3952,03/05/2015,Hacking/IT Incident,Email,No
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,4668,03/03/2015,Loss,Paper/Films,No
Georgia Department of Community Health,GA,Health Plan,355127,03/02/2015,Hacking/IT Incident,Network Server,Yes
Georgia Department of Community Health,GA,Health Plan,557779,03/02/2015,Hacking/IT Incident,Network Server,Yes
Advance Rehabilitation & Consulting LTD,GA,Healthcare Provider,570,03/02/2015,Hacking/IT Incident,Network Server,No
Amedisys,LA,Healthcare Provider,6909,03/01/2015,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop",No
Aventura Hospital and Medical Center,FL,Healthcare Provider,686,02/27/2015,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No
"Cathrine Steinborn, DDS",CA,Healthcare Provider,3224,02/27/2015,Theft,Network Server,No
"St.Vincent Hospital and Health Care Center, Inc.",IN,Healthcare Provider,63325,02/27/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Raymond Mark Turner, M.D.",NV,Healthcare Provider,2153,02/26/2015,Theft,Laptop,No
Children's National Medical Center,DC,Healthcare Provider,18000,02/24/2015,Hacking/IT Incident,Email,No
Marketing Clique,TX,Health Plan,8700,02/20/2015,Unauthorized Access/Disclosure,Other,Yes
Hunt Regional Medical Partners,TX,Healthcare Provider,3000,02/18/2015,Unauthorized Access/Disclosure,Other,No
Anthem Inc.,IN,Health Plan,78800000,02/13/2015,Hacking/IT Incident,Network Server,No
Pathway to Hope,FL,Healthcare Provider,600,02/12/2015,Unauthorized Access/Disclosure,Email,No
Courier Corporation of Hawaii,HI,Business Associate,2809,02/11/2015,Loss,Paper/Films,Yes
Haywood County NC,NC,Healthcare Provider,955,02/09/2015,Loss,Paper/Films,No
"Tomas, Arturo",IL,Business Associate,680,02/09/2015,Loss,Paper/Films,Yes
"Senior Health Partners, a Healthfirst company",NY,Health Plan,2772,02/06/2015,Theft,"Laptop, Other Portable Electronic Device",No
Planned Parenthood Southwest Ohio,OH,Healthcare Provider,5000,02/05/2015,Improper Disposal,Paper/Films,No
South Sunflower County Hospital,MS,Healthcare Provider,19000,02/04/2015,Improper Disposal,Paper/Films,No
Boston Baskin Cancer Foundation,TN,Healthcare Provider,56694,02/02/2015,Theft,Other Portable Electronic Device,No
"UMass Memorial Medical Group, Inc.",MA,Healthcare Provider,14100,01/30/2015,Unauthorized Access/Disclosure,Paper/Films,No
"North Dallas Urogynecology, PLLC.",TX,Healthcare Provider,678,01/29/2015,Theft,Laptop,No
Riverside County Regional Medical Center,CA,Healthcare Provider,7925,01/29/2015,Theft,Laptop,No
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,Health Plan,630,01/29/2015,Unauthorized Access/Disclosure,Paper/Films,No
David E. Hansen DDS PS,WA,Healthcare Provider,2000,01/29/2015,Theft,"Other Portable Electronic Device, Paper/Films",No
Diana S. Guth DBA Home Respiratory Care,CA,Healthcare Provider,1285,01/28/2015,Unauthorized Access/Disclosure,Email,No
California Pacific Medical Center,CA,Healthcare Provider,845,01/23/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Ronald D. Garrett-Roe, MD",TX,Healthcare Provider,1600,01/23/2015,Hacking/IT Incident,Desktop Computer,No
St. Peter's Health Partners,NY,Healthcare Provider,5117,01/23/2015,Theft,Other Portable Electronic Device,No
"Rainier Surgical, Incorporated",TX,Healthcare Provider,4920,01/16/2015,Theft,Paper/Films,No
National Pain Institute,FL,Healthcare Provider,500,01/15/2015,Improper Disposal,"Desktop Computer, Laptop",No
University Hospitals,OH,Healthcare Provider,848,01/15/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Tennessee Rural Health Improvement Association,TN,Health Plan,79000,01/13/2015,Unauthorized Access/Disclosure,Other,No
Children's Eyewear Sight,CA,Healthcare Provider,1030,01/12/2015,Theft,Desktop Computer,No
Henry Ford Health System,MI,Healthcare Provider,2336,01/09/2015,Loss,"Other, Other Portable Electronic Device",No
"Aspire Indiana, Inc.",IN,Healthcare Provider,43890,01/07/2015,Theft,Laptop,No
Saint Louis County Department of Health,MO,Healthcare Provider,4000,01/07/2015,Unauthorized Access/Disclosure,"Email, Network Server",No
VA Corporate Data Center Operations/Austin Information Technology Center,TX,Healthcare Provider,7029,01/07/2015,Hacking/IT Incident,Network Server,No
mdINR LLC,FL,Healthcare Provider,1859,01/05/2015,Unauthorized Access/Disclosure,Email,No
"Murali Menon, Privacy Manager Breach",CA,Healthcare Provider,2855,12/30/2014,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No
Independence Blue Cross and AmeriHealth New Jersey,PA,Health Plan,12450,12/26/2014,Improper Disposal,Paper/Films,No
Northwestern Memorial HealthCare,IL,Healthcare Provider,2813,12/23/2014,Theft,Laptop,No
"Mercy Medical Center Redding - Oncology Clinic, Privacy Manager Breach",CA,Healthcare Provider,616,12/22/2014,Hacking/IT Incident,Other,No
"The Corvallis Clinic, P.C.",OR,Healthcare Provider,41000,12/19/2014,Theft,Laptop,No
Pediatric Gastroenterology Consultants,CO,Healthcare Provider,5000,12/19/2014,Theft,Laptop,No
Walgreen Co.,IL,Healthcare Provider,160000,12/15/2014,Other,Paper/Films,No
St. Mary Mercy Hospital,MI,Healthcare Provider,1488,12/12/2014,Unauthorized Access/Disclosure,Email,No
Clay County Hospital,IL,Healthcare Provider,12621,12/12/2014,Unauthorized Access/Disclosure,Other,No
"District Medical Group, Privacy Manager Breach",AZ,Healthcare Provider,616,12/12/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Sony Pictures Entertainment Health and Welfare Benefits Plan (the Plan),CA,Health Plan,30000,12/12/2014,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No
Highlands Cashier Hospital,NC,Healthcare Provider,26115,12/11/2014,Unauthorized Access/Disclosure,Network Server,No
ReachOut Home Care [Case #16687],KY,Healthcare Provider,4500,12/09/2014,Theft,Laptop,No
Florida Department of Health,FL,Healthcare Provider,2477,12/08/2014,Other,Email,No
The Hearing Zone,UT,Healthcare Provider,623,12/05/2014,Theft,Laptop,No
North Big Horn Hospital,WY,Healthcare Provider,1607,12/01/2014,Loss,Paper/Films,No
"Computer Programs and Systems, Inc.",AL,Business Associate,25764,11/26/2014,Theft,Network Server,Yes
Northfield Hospital & Clinics,MN,Healthcare Provider,1778,11/25/2014,Improper Disposal,Paper/Films,No
AdminisTEP,TX,Business Associate,4469,11/25/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
True Vision Eyecare,OH,Healthcare Provider,542,11/21/2014,Theft,Laptop,No
Visionworks Inc.,TX,Health Plan,47683,11/21/2014,Theft,Network Server,No
"Baptist Primary Care, Inc.",FL,Healthcare Provider,1449,11/20/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No
"MetroPlus Health Plan, Inc.",NY,Health Plan,31980,11/20/2014,Other,Email,No
Kirkbride Center,PA,Healthcare Provider,860,11/19/2014,Theft,Paper/Films,No
Brigham and Women's Hospital,MA,Healthcare Provider,999,11/17/2014,Theft,"Laptop, Other Portable Electronic Device",No
REEVE-WOODS EYE CENTER,CA,Healthcare Provider,30000,11/15/2014,Theft,Network Server,No
Colorado River Indian Tribes,AZ,Healthcare Provider,1296,11/14/2014,Other,Email,No
Iron Mountain,CA,Business Associate,2691,11/14/2014,Theft,Paper/Films,Yes
Loi Luu,CA,Healthcare Provider,13177,11/14/2014,Theft,Network Server,No
"Indian Health Service, Aberdeen Area Office",SD,Health Plan,1632,11/13/2014,Unauthorized Access/Disclosure,Email,No
Visionworks Inc.,TX,Health Plan,74944,11/10/2014,Loss,Network Server,No
Weill Cornell Medical College,NY,Healthcare Provider,3936,11/07/2014,Theft,"Electronic Medical Record, Laptop",No
"Central Dermatology Center, P.A.",NC,Healthcare Provider,76258,11/07/2014,Theft,Network Server,No
"Jessie Trice Community Health Center, Inc.",FL,Healthcare Provider,7888,11/03/2014,Theft,"Desktop Computer, Network Server",No
Coordinated Health,PA,Healthcare Provider,13907,10/31/2014,Theft,Laptop,No
Memorial Healthcare System,FL,Healthcare Provider,1782,10/31/2014,Unauthorized Access/Disclosure,Email,No
Memorial Healthcare System,FL,Healthcare Provider,1782,10/30/2014,Unauthorized Access/Disclosure,Email,No
Portland VA Medical Center,OR,Healthcare Provider,1740,10/29/2014,Theft,Paper/Films,No
Burlington Northern Santa Fe Group Benefits Plan,TX,Health Plan,507,10/28/2014,Loss,Other Portable Electronic Device,No
"Multilingual Psychotherapy Centers, Inc",FL,Healthcare Provider,3500,10/28/2014,Theft,Network Server,No
"Quraishi, Nisar A",NY,Healthcare Provider,20000,10/22/2014,Theft,Paper/Films,No
"Seven Counties Services, Inc.",KY,Healthcare Provider,727,10/22/2014,"Improper Disposal, Unauthorized Access/Disclosure",Paper/Films,No
MD Manage (Vcarve LLC),NJ,Business Associate,35357,10/22/2014,Unauthorized Access/Disclosure,Network Server,Yes
Heard County EMA,GA,Business Associate,672,10/22/2014,Theft,Desktop Computer,No
Graybill Medical Group,CA,Healthcare Provider,1863,10/15/2014,Theft,Other,No
Cone Health Medical Group,NC,Healthcare Provider,1872,10/15/2014,Unauthorized Access/Disclosure,Paper/Films,No
City of Dallas Fire-Rescue Department,TX,Healthcare Provider,1000,10/15/2014,Theft,Laptop,No
Southwest Virginia Physicians for Women,VA,Healthcare Provider,568,10/10/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
New York City Health & Hospitals Corporation,NY,Healthcare Provider,10058,10/10/2014,Unauthorized Access/Disclosure,Paper/Films,No
M&M Computer Services,TX,Business Associate,4500,10/10/2014,Hacking/IT Incident,Network Server,Yes
Colorado Department of Health Care Policy & Financing,CO,Health Plan,15380,10/10/2014,Unauthorized Access/Disclosure,Other,Yes
NYU Urology Associates,NY,Healthcare Provider,835,10/10/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Region Six of the Georgia Department of Behavioral Health and Developmental Disabilities,GA,Healthcare Provider,3397,10/09/2014,Theft,Laptop,No
Cone Health Medical Group,NC,Healthcare Provider,1872,10/09/2014,Unauthorized Access/Disclosure,Paper/Films,No
South Texas Veterans Health Care System,TX,Healthcare Provider,4000,10/09/2014,Unauthorized Access/Disclosure,Paper/Films,No
"UC Davis Medical Center, Privacy Manager Breach",CA,Healthcare Provider,1326,10/08/2014,Hacking/IT Incident,Email,No
vonica chau DDS PA,TX,Healthcare Provider,810,10/08/2014,Theft,Desktop Computer,No
VARO Healthcare,PA,Business Associate,1667,10/07/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Vcarve LLC d/b/a MD Manage,NJ,Business Associate,585,10/06/2014,Unauthorized Access/Disclosure,Network Server,Yes
Albertina Kerr Centers,OR,Healthcare Provider,1320,10/06/2014,Theft,Laptop,No
"Touchstone Medical Imaging, LLC",TN,Healthcare Provider,307528,10/03/2014,Unauthorized Access/Disclosure,Network Server,No
Mount Sinai Beth Israel,NY,Healthcare Provider,10793,10/03/2014,Theft,Laptop,No
"U.S. Health Holdings, Ltd. o/b/o Macomb County, Michigan",MI,Health Plan,6302,10/01/2014,Unauthorized Access/Disclosure,Other,No
"American Family Care, Inc.",AL,Healthcare Provider,2588,09/30/2014,Theft,Laptop,No
"Compassionate Care Hospice of Central Louisiana, LLC",LA,Healthcare Provider,707,09/26/2014,Theft,"Laptop, Other",No
Madison Street Provider Network,CO,Healthcare Provider,523,09/26/2014,Theft,Laptop,No
"Owensboro Medical Practice, PLLC",KY,Healthcare Provider,4077,09/25/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"Research Integrity, LLC",KY,Business Associate,4077,09/22/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
New Mexico VA Health Care System,NM,Healthcare Provider,2657,09/18/2014,Unauthorized Access/Disclosure,Paper/Films,No
South Suburban HIV/AIDS Regional Clinics,IL,Business Associate,767,09/17/2014,Other,Email,Yes
Cook County Health and Hospitals System,IL,Healthcare Provider,767,09/15/2014,Hacking/IT Incident,Email,Yes
Emdeon,TN,Business Associate,800,09/12/2014,Theft,Paper/Films,Yes
Santa Fe Medical Group,NM,Healthcare Provider,843,09/12/2014,Theft,Other Portable Electronic Device,No
Tampa General Hospital,FL,Healthcare Provider,675,09/12/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No
Aventura Hospital and Medical Center,FL,Healthcare Provider,82601,09/11/2014,"Theft, Unauthorized Access/Disclosure",Network Server,No
Cedars-Sinai Health System,CA,Healthcare Provider,33136,09/10/2014,Theft,Laptop,No
