Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
"H3- Hope, Healing, Health Inc.",MI,Healthcare Provider,500,09/29/2023,Hacking/IT Incident,Email,No
"Physio Logic Medicine, PC",NY,Healthcare Provider,1280,09/29/2023,Hacking/IT Incident,Network Server,No
International Business Machines Corporation,NY,Business Associate,630755,09/29/2023,Unauthorized Access/Disclosure,Other,Yes
"Physio Logic Chiropractic and Physical Therapy, PLLC and Dr. Patty DiBlasio, PC",NY,Healthcare Provider,9580,09/29/2023,Hacking/IT Incident,Network Server,No
Mt. Graham Regional Medical Center,AZ,Healthcare Provider,501,09/29/2023,Hacking/IT Incident,Network Server,No
"Georgia Northside Ear, Nose, and Throat, LLC.",TX,Healthcare Provider,37774,09/29/2023,Hacking/IT Incident,Email,No
Greater Dallas Healthcare Enterprises,TX,Healthcare Provider,143833,09/29/2023,Hacking/IT Incident,Email,No
South Florida Behavioral Health Network,FL,Business Associate,2729,09/29/2023,Hacking/IT Incident,Network Server,Yes
"Acadia Health, LLC d/b/a Just Kids Dental",AL,Healthcare Provider,129463,09/27/2023,Hacking/IT Incident,Network Server,No
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",KY,Healthcare Provider,6814,09/26/2023,Hacking/IT Incident,Email,No
"Entertainment Community Fund, dba Actors Fund Home",NJ,Healthcare Provider,1110,09/26/2023,Hacking/IT Incident,Network Server,No
"AIDS Alabama, Inc.",AL,Healthcare Provider,1922,09/26/2023,Hacking/IT Incident,Network Server,No
Community First Medical Center,IL,Healthcare Provider,216047,09/26/2023,Hacking/IT Incident,Network Server,No
Riverdale Mental Health d/b/a Mosaic Mental Health,NY,Healthcare Provider,7281,09/25/2023,Hacking/IT Incident,Network Server,No
"Tangoe, Inc.",IN,Health Plan,718,09/25/2023,Hacking/IT Incident,Network Server,No
Cook County Health and Hospitals System,IL,Healthcare Provider,500,09/24/2023,Hacking/IT Incident,Network Server,Yes
"Navvis & Company, LLC",MO,Business Associate,917,09/22/2023,Hacking/IT Incident,Network Server,Yes
"OrthoAlaska, LLC",AK,Healthcare Provider,176203,09/22/2023,Hacking/IT Incident,Network Server,No
"Allegheny County, Pennsylvania",PA,Business Associate,1505,09/22/2023,Hacking/IT Incident,Network Server,Yes
Blue Cross Blue Shield of Texas,IL,Business Associate,3708,09/22/2023,Unauthorized Access/Disclosure,Paper/Films,Yes
Clover Health LLC,NJ,Health Plan,2834,09/22/2023,Unauthorized Access/Disclosure,Network Server,No
Indiana University Health,IN,Healthcare Provider,4194,09/22/2023,Hacking/IT Incident,Network Server,Yes
"Health First, Inc.",FL,Healthcare Provider,14171,09/22/2023,Hacking/IT Incident,Email,No
