"","entity","state","type","affected","date","incident","location","business_associate"
"5191","Erskine Family Dentistry","IN","Healthcare Provider",2723,"05/21/2013","Hacking/IT Incident","Desktop Computer","No"
"5192","Just the Connection Inc","IN","Business Associate",5388,"05/20/2013","Improper Disposal","Other","Yes"
"5193","Lutheran Social Services of South Central Pennsylvania","PA","Healthcare Provider",7803,"05/20/2013","Hacking/IT Incident","Network Server","No"
"5194","City of Norwood","OH","Healthcare Provider",9577,"05/20/2013","Loss","Laptop","No"
"5195","Dent Neurologic Institute","NY","Healthcare Provider",10000,"05/14/2013","Unauthorized Access/Disclosure","Email","No"
"5196","Indiana University Health Arnett","IN","Healthcare Provider",10350,"05/13/2013","Theft","Laptop","No"
"5197","E-dreamz, Inc.","NC","Business Associate",1924,"05/10/2013","Hacking/IT Incident","Network Server","Yes"
"5198","North Atlantic Telecom, Inc.","TN","Business Associate",539,"05/08/2013","Other","Desktop Computer","Yes"
"5199","E-dreamz, Inc.","NC","Business Associate",9988,"05/08/2013","Hacking/IT Incident","Network Server","Yes"
"5200","Regional Medical Center","TN","Healthcare Provider",1180,"05/07/2013","Unauthorized Access/Disclosure","Email","No"
"5201","Seattle - King County Department of Public Health","WA","Healthcare Provider",750,"05/07/2013","Improper Disposal","Paper/Films","No"
"5202","Digital Archive Management","TX","Business Associate",189489,"05/07/2013","Improper Disposal","Paper/Films","Yes"
"5203","AssuranceMD f/k/a Harbor Group","PA","Business Associate",22000,"05/07/2013","Theft","Other Portable Electronic Device","Yes"
"5204","University of Rochester Medical Center & Affiliates","NY","Healthcare Provider",537,"05/06/2013","Loss","Other Portable Electronic Device","No"
"5205","Wood County Hospital","OH","Healthcare Provider",2500,"05/03/2013","Theft","Other","No"
"5206","Arizona Counseling & Treatment Services, LLC","AZ","Healthcare Provider",3800,"05/01/2013","Theft","Other Portable Electronic Device","No"
"5207","Laboratory Corporation of America","NC","Healthcare Provider",1580,"05/01/2013","Theft","Desktop Computer","No"
"5208","Raleigh Orthopaedic Clinic","NC","Healthcare Provider",17300,"04/30/2013","Improper Disposal","Paper/Films","No"
"5209","ZDI","CA","Business Associate",14829,"04/29/2013","Loss","Paper/Films","Yes"
"5210","Valley Mental Health","UT","Healthcare Provider",700,"04/26/2013","Theft","Desktop Computer","No"
"5211","IHC Health Services, Inc. dba Intermountain Life Flight","UT","Healthcare Provider",857,"04/26/2013","Unauthorized Access/Disclosure","Other","No"
"5212","Hope Hospice","TX","Healthcare Provider",818,"04/25/2013","Other","Email","No"
"5213","The Guidance Center of Westchester","NY","Healthcare Provider",1416,"04/17/2013","Theft","Desktop Computer","No"
"5214","Schneck Medical Center","IN","Healthcare Provider",3131,"04/12/2013","Unauthorized Access/Disclosure","Other","No"
"5215","Oregon Health & Science University","OR","Healthcare Provider",1076,"04/11/2013","Theft","Laptop","No"
"5216","John J. Pershing VA Medical Center","MO","Healthcare Provider",589,"04/11/2013","Theft","Paper/Films","No"
"5217","Wm. Jennings Bryan Dorn VAMC","SC","Healthcare Provider",7405,"04/10/2013","Theft","Laptop","No"
"5218","TMG Health","PA","Business Associate",3794,"04/05/2013","Unauthorized Access/Disclosure","Paper/Films","Yes"
"5219","Texas Health Care, P.L.L.C.","TX","Healthcare Provider",554,"04/05/2013","Theft","Paper/Films","No"
"5220","Hospice and Palliative Care Center of Alamance Caswell","NC","Healthcare Provider",5370,"04/04/2013","Theft","Laptop","No"
"5221","PORTAL HEALTHCARE SOLUTIONS LLC","VA","Business Associate",2360,"04/04/2013","Theft","Network Server","Yes"
"5222","Kmart Corporation","IL","Healthcare Provider",12542,"04/03/2013","Theft","Electronic Medical Record","No"
"5223","University of Florida","FL","Healthcare Provider",14519,"04/03/2013","Other","Network Server","No"
"5224","Shands Jacksonville Medical Center, Inc.","FL","Healthcare Provider",1025,"04/02/2013","Theft","Electronic Medical Record","No"
"5225","QuickRunner, Inc. (dba, RoadRunner Mailing Services)","CA","Business Associate",2400,"03/29/2013","Unauthorized Access/Disclosure","Paper/Films","Yes"
"5226","Sunil Kakar, Psy.D.","WA","Business Associate",629,"03/29/2013","Theft","Laptop","Yes"
"5227","Rite Aid #10217","RI","Healthcare Provider",2082,"03/29/2013","Other","Paper/Films","No"
"5228","Oregon Health & Science University","OR","Healthcare Provider",1114,"03/26/2013","Theft","Laptop","No"
"5229","Texas Tech Unversity Health Sciences Center","TX","Healthcare Provider",697,"03/22/2013","Unauthorized Access/Disclosure","Paper/Films","No"
"5230","Granger Medical Clinic","UT","Healthcare Provider",2600,"03/22/2013","Loss","Paper/Films","No"
"5231","University of Mississippi Medical Center","MS","Healthcare Provider",500,"03/21/2013","Loss","Laptop","No"
"5232","HealthCare for Women, Inc.","MA","Healthcare Provider",8727,"03/20/2013","Hacking/IT Incident","Network Server","No"
"5233","M&C Children's Clinic PA","TX","Healthcare Provider",6300,"03/19/2013","Hacking/IT Incident","Network Server","No"
"5234","Thomas L. Davis, Jr. DDS","OR","Healthcare Provider",3269,"03/15/2013","Theft","Desktop Computer","No"
"5235","Mount Sinai Medical Center","FL","Healthcare Provider",628,"03/15/2013","Theft","Desktop Computer","No"
"5236","Connextions c/o Anthem BCBS","IN","Business Associate",1678,"03/14/2013","Theft","Network Server","Yes"
"5237","Patterson Dental Supply/Patterson Companies","MN","Business Associate",6400,"03/12/2013","Hacking/IT Incident","Network Server","Yes"
"5238","United HomeCare Services, Inc.","FL","Healthcare Provider",12299,"03/09/2013","Theft","Laptop","No"
"5239","University of Connecticut Health Center","CT","Healthcare Provider",1382,"03/08/2013","Unauthorized Access/Disclosure","Network Server","No"
"5240","Sports Rehabilitation Consultants","OH","Healthcare Provider",1200,"03/06/2013","Theft","Desktop Computer","No"
"5241","Goold Health System (Goold)","MA","Business Associate",6332,"03/06/2013","Loss","Other Portable Electronic Device","Yes"
"5242","North Los Angeles County Regional Center","CA","Business Associate",18162,"03/04/2013","Theft","Laptop","Yes"
"5243","Maine Medical Center","ME","Healthcare Provider",1920,"03/04/2013","Other","Email","No"
"5244","Lancaster General Medical Group","PA","Healthcare Provider",527,"03/04/2013","Theft","Paper/Films","No"
"5245","South Miami Hospital","FL","Healthcare Provider",834,"03/02/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"5246","Plexus Group","IL","Business Associate",500,"03/01/2013","Unauthorized Access/Disclosure","Other","Yes"
"5247","Health Plus Amerigroup","NY","Business Associate",28187,"03/01/2013","Theft","Other Portable Electronic Device","Yes"
"5248","Standard Register","OH","Business Associate",2261,"03/01/2013","Theft","Paper/Films","Yes"
"5249","WOMENS HEALTH ENTERPRISE, INC.","GA","Healthcare Provider",3000,"02/27/2013","Theft","Laptop","No"
"5250","County of San Bernardino, Department of Behavioral Health","CA","Health Plan",686,"02/25/2013","Theft","Paper/Films","No"
"5251","Crescent Health Inc. - a Walgreens Company","CA","Healthcare Provider",109000,"02/22/2013","Theft","Desktop Computer","No"
"5252","Arizona Oncology","AZ","Healthcare Provider",501,"02/21/2013","Theft","Laptop","No"
"5253","Stronghold Counseling Services, Inc.","SD","Healthcare Provider",8500,"02/21/2013","Theft","Desktop Computer","No"
"5254","Catoctin Dental/Richard B. Love, D.D.S., P.A.","MD","Healthcare Provider",6400,"02/20/2013","Hacking/IT Incident","Network Server","No"
"5255","Florida Healthy Kids Corporation","FL","Business Associate",3667,"02/19/2013","Unauthorized Access/Disclosure","Paper/Films","Yes"
"5256","Terrell County Health Department","GA","Healthcare Provider",18000,"02/18/2013","Unauthorized Access/Disclosure","Network Server","No"
"5257","ABQ HealthPartners","NM","Healthcare Provider",778,"02/17/2013","Theft","Laptop","No"
"5258","Heyman HospiceCare at Floyd","GA","Healthcare Provider",1819,"02/15/2013","Theft","Laptop","No"
"5259","HomeCare of Mid-Missouri, Inc.","MO","Healthcare Provider",4027,"02/14/2013","Theft","Laptop","No"
"5260","Kindred Transitional Care and Rehabilitation - Marl","MA","Healthcare Provider",716,"02/14/2013","Theft","Other Portable Electronic Device","No"
"5261","Jackson Health System","FL","Healthcare Provider",566,"02/13/2013","Other","Paper/Films","No"
"5262","Froedtert Health","WI","Healthcare Provider",43549,"02/12/2013","Hacking/IT Incident","Network Server","No"
"5263","Coast Healthcare Management, LLC","CA","Business Associate",1368,"02/12/2013","Other","Paper/Films","Yes"
"5264","Center for Pain Management, LLC","MD","Healthcare Provider",5822,"02/12/2013","Theft","Laptop","No"
"5265","West Georgia Ambulance","GA","Healthcare Provider",500,"02/11/2013","Loss","Laptop","No"
"5266","Intervention Services, Inc.","FL","Healthcare Provider",1200,"02/07/2013","Theft","Laptop","No"
"5267","Yadkinville Chiropractic DCPA","NC","Business Associate",1000,"02/06/2013","Theft","Desktop Computer","Yes"
"5268","LifeGas","GA","Business Associate",1103,"02/04/2013","Theft","Laptop","Yes"
"5269","Community Services NW","AL","Healthcare Provider",2400,"02/02/2013","Theft","Desktop Computer","No"
"5270","Kmart Pharmacy #7623","LA","Business Associate",16988,"01/31/2013","Improper Disposal","Paper/Films","Yes"
"5271","RR Donnelley (a sub-BA for UnitedHealth Group)","IL","Business Associate",8911,"01/30/2013","Theft","Desktop Computer","Yes"
"5272","Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics","WI","Healthcare Provider",2400,"01/25/2013","Theft","Paper/Films","No"
"5273","The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider",29021,"01/24/2013","Theft","Laptop","No"
"5274","Stanford School of Medicine & LP Children Hosp, Privacy Manager Breach","CA","Healthcare Provider",56500,"01/23/2013","Theft","Laptop","No"
"5275","BlueCross BlueShield of Western New York","NY","Business Associate",725,"01/22/2013","Theft","Paper/Films","Yes"
"5276","Baptist Health System","TX","Healthcare Provider",678,"01/22/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"5277","WAYNE MEMORIAL HOSPITAL","PA","Healthcare Provider",1184,"01/18/2013","Loss","Other","No"
"5278","Riderwood Village","MD","Healthcare Provider",3230,"01/17/2013","Theft","Laptop","No"
"5279","California Department of Developmental Services, Privacy Manager Breach","CA","Healthcare Provider",1312,"01/15/2013","Hacking/IT Incident","Desktop Computer","No"
"5280","Washington University School of Medicine","MO","Healthcare Provider",1105,"01/11/2013","Theft","Laptop","No"
"5281","Lee D. Pollan, DMD, PC","NY","Healthcare Provider",19178,"01/11/2013","Theft","Laptop","No"
"5282","Clearpoint Design, Inc.","MA","Business Associate",4100,"01/10/2013","Hacking/IT Incident","Network Server","Yes"
"5283","Pousson Family Dentistry","LA","Healthcare Provider",1400,"01/10/2013","Theft","Laptop","No"
"5284","Clearpoint Design, Inc.","MA","Business Associate",7250,"01/10/2013","Hacking/IT Incident","Network Server","Yes"
"5285","SilverScript Insurance Company","AZ","Health Plan",852,"01/08/2013","Unauthorized Access/Disclosure","Paper/Films","No"
"5286","WorkflowOne","OH","Business Associate",635,"01/08/2013","Unauthorized Access/Disclosure","Paper/Films","Yes"
"5287","University of Nevada School of Medicine","NV","Healthcare Provider",1483,"01/08/2013","Improper Disposal","Paper/Films","No"
"5288","Clearpoint Design, Inc.","MA","Business Associate",4125,"01/07/2013","Hacking/IT Incident","Network Server","Yes"
"5289","Calvin Schuster,MD","CA","Healthcare Provider",532,"01/04/2013","Theft","Desktop Computer","No"
"5290","Group Health Incorporated","NY","Health Plan",1771,"01/02/2013","Theft","Paper/Films","No"
"5291","St. Mark's Medical Center","TX","Healthcare Provider",2988,"12/31/2012","Hacking/IT Incident","Desktop Computer","No"
"5292","Omnicell, Inc.","CA","Business Associate",56820,"12/31/2012","Theft","Laptop","Yes"
"5293","Clearpoint Design, Inc.","MA","Business Associate",4343,"12/28/2012","Hacking/IT Incident","Network Server","Yes"
"5294","HP Enterprise Services","KY","Business Associate",1090,"12/28/2012","Theft","Laptop","Yes"
"5295","Sovereign Medical Group, LLC","NJ","Healthcare Provider",27800,"12/27/2012","Hacking/IT Incident","Network Server","No"
"5296","Gibson General Hospital","IN","Healthcare Provider",28893,"12/26/2012","Theft","Laptop","No"
"5297","Richard Switzer MD PC","MI","Healthcare Provider",4100,"12/23/2012","Other","Laptop","No"
"5298","Calif. Dept. of Health Care Services (DHCS)","CA","Health Plan",2643,"12/23/2012","Unauthorized Access/Disclosure","Other","No"
"5299","Center for Orthopedic Research and Education, Inc.","AZ","Healthcare Provider",35488,"12/21/2012","Theft","Paper/Films","No"
"5300","OHP PHSP, Inc.","NY","Business Associate",28187,"12/21/2012","Unauthorized Access/Disclosure","Other","Yes"
"5301","Westerville Dental Center","OH","Healthcare Provider",850,"12/20/2012","Theft","Laptop","No"
"5302","Health Advantage","AR","Health Plan",2863,"12/20/2012","Other","Paper/Films","No"
"5303","Columbia University Medical Center and NewYork-Presbyterian Hospital","NY","Healthcare Provider",4929,"12/14/2012","Theft","Desktop Computer","No"
"5304","North Lake Tahoe Fire Protection District, Privacy Manager Breach","NV","Healthcare Provider",752,"12/13/2012","Theft","Desktop Computer","No"
"5305","City of Corona, Privacy Manager Breach","CA","Business Associate",958,"12/13/2012","Theft","Desktop Computer","No"
"5306","City of Yuma, Privacy Manager Breach","AZ","Business Associate",905,"12/13/2012","Theft","Desktop Computer","No"
"5307","CCS Medical, Inc.","TX","Healthcare Provider",6601,"12/10/2012","Unauthorized Access/Disclosure","Network Server","No"
"5308","Coastal Behavioral Healthcare, Inc.","FL","Healthcare Provider",4907,"12/07/2012","Theft","Paper/Films","No"
"5309","Carolinas Medical Center - Randolph","NC","Healthcare Provider",5600,"12/07/2012","Hacking/IT Incident","Email","No"
"5310","University of Virginia Medical Center","VA","Healthcare Provider",1846,"11/30/2012","Loss","Other Portable Electronic Device","No"
"5311","Landmark Medical Center","RI","Healthcare Provider",683,"11/30/2012","Theft","Laptop","No"
"5312","ADPI-West","CA","Business Associate",1500,"11/29/2012","Theft","Desktop Computer","Yes"
"5313","City of Berkeley, Privacy Manager Breach","CA","Business Associate",931,"11/29/2012","Theft","Desktop Computer","No"
"5314","County of San Bernardino Department of Public Heatlh","CA","Healthcare Provider",1370,"11/29/2012","Unauthorized Access/Disclosure","Paper/Films","No"
"5315","Vidant Pungo Hospital","NC","Healthcare Provider",1100,"11/29/2012","Improper Disposal","Paper/Films","No"
"5316","Blue Cross Blue Shield","IL","Business Associate",500,"11/29/2012","Unauthorized Access/Disclosure","Network Server","Yes"
"5317","Cuyahoga County Board of Developmental Disabilities","OH","Healthcare Provider",613,"11/29/2012","Theft","Laptop","No"
"5318","Advanced Data Processing, Inc.","FL","Healthcare Clearing House",10000,"11/29/2012","Theft","Desktop Computer","No"
"5319","Robbins Eye Center PC","CT","Healthcare Provider",1749,"11/28/2012","Theft","Desktop Computer","No"
"5320","James M. McGee, D.M.D., P.C.","GA","Healthcare Provider",1306,"11/27/2012","Theft","Paper/Films","No"
"5321","Advantage Health Solutions, Inc.","IN","Business Associate",2575,"11/26/2012","Other","Other","Yes"
"5322","Brigham and Women's Hospital","MA","Healthcare Provider",615,"11/26/2012","Theft","Desktop Computer","No"
"5323","Digital Archive Management","TX","Business Associate",501,"11/21/2012","Improper Disposal","Network Server","Yes"
"5324","Original Medicine Acupuncture & Wellness, LLC","NM","Healthcare Provider",540,"11/21/2012","Theft","Laptop","No"
"5325","Soundental Associates, PC","CT","Healthcare Provider",14511,"11/21/2012","Theft","Other Portable Electronic Device","No"
"5326","Original Medicine Acupuncture & Wellness, LLC","NM","Healthcare Provider",540,"11/21/2012","Theft","Laptop","No"
"5327","Hawaii State Department of Health, Adult Mental Health Division","HI","Healthcare Provider",674,"11/20/2012","Hacking/IT Incident","Desktop Computer","No"
"5328","L.A. Care Health Plan","CA","Health Plan",18000,"11/17/2012","Other","Other","No"
"5329","CHRISTUS St. John Hospital","TX","Healthcare Provider",5748,"11/16/2012","Loss","Other Portable Electronic Device","No"
"5330","Maryville Academy","IL","Healthcare Provider",3897,"11/08/2012","Loss","Other Portable Electronic Device","No"
"5331","Memorial Health System","CO","Healthcare Provider",6262,"11/07/2012","Loss","Paper/Films","No"
"5332","Women and Infant's Hospital","RI","Healthcare Provider",14004,"11/05/2012","Loss","Other Portable Electronic Device","No"
"5333","WYATT DENTAL GROUP, LLC","LA","Healthcare Provider",10271,"11/05/2012","Theft","Electronic Medical Record","No"
"5334","Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center","FL","Healthcare Provider",2560,"11/05/2012","Theft","Electronic Medical Record","No"
"5335","Indiana University","IN","Health Plan",3266,"11/05/2012","Theft","Laptop","No"
"5336","Union County Board of Developmental Disabilities","OH","Health Plan",1420,"11/05/2012","Theft","Laptop","No"
"5337","Henry Ford Health System","MI","Healthcare Provider",2777,"11/05/2012","Loss","Other","No"
"5338","University of Illinois, College of Nursing","IL","Business Associate",508,"11/02/2012","Theft","Paper/Films","Yes"
"5339","QUANTERION SOLUTIONS INC","NY","Business Associate",1017,"11/01/2012","Theft","Network Server","Yes"
"5340","Waipahu Aloha Clubhouse, Privacy Manager Breach","HI","Healthcare Provider",674,"10/31/2012","Unauthorized Access/Disclosure","Desktop Computer","No"
"5341","Memorial Hospital","OH","Healthcare Provider",500,"10/29/2012","Improper Disposal","Paper/Films","No"
"5342","CVS Caremark","RI","Healthcare Provider",955,"10/26/2012","Theft","Paper/Films","No"
"5343","SwedishAmerican Health System","IL","Healthcare Provider",1500,"10/26/2012","Theft","Paper/Films","No"
"5344","Health Care Service Corporation","IL","Health Plan",501,"10/26/2012","Theft","Paper/Films","No"
"5345","Logan Community Resources, Inc.","IN","Healthcare Provider",2900,"10/23/2012","Hacking/IT Incident","Network Server","No"
"5346","First Step Counseling, Inc.","NJ","Healthcare Provider",638,"10/23/2012","Theft","Paper/Films","No"
"5347","L.A. Care Health Plan","CA","Health Plan",18000,"10/22/2012","Other","Paper/Films","No"
"5348","Philip P Corneliuson, DDS, INC.","CA","Healthcare Provider",980,"10/22/2012","Theft","Desktop Computer","No"
"5349","Coastal home Respiratory, LLP","GA","Healthcare Provider",3440,"10/18/2012","Theft","Other","No"
"5350","Alere Home Monitoring, Inc","CA","Healthcare Provider",116506,"10/18/2012","Theft","Laptop","No"
"5351","Blount Memorial Hospital, Inc","TN","Healthcare Provider",27799,"10/17/2012","Theft","Laptop","No"
"5352","Gulf Coast Health Care Services Inc","FL","Healthcare Provider",13000,"10/15/2012","Hacking/IT Incident","Network Server","No"
"5353","Alexander J. Tikhtman, M.D.","KY","Healthcare Provider",2376,"10/12/2012","Theft","Other Portable Electronic Device","No"
"5354","Apria Healthcare, Inc.","CA","Healthcare Provider",65700,"10/10/2012","Theft","Laptop","No"
"5355","PST Services, Inc","GA","Business Associate",13074,"10/08/2012","Improper Disposal","Paper/Films","Yes"
"5356","Cabinet for Health and Family Services, Department for Community Based Services","KY","Healthcare Provider",2500,"09/19/2012","Unauthorized Access/Disclosure","Email","No"
"5357","St. Therese Medical Group, Inc","CA","Healthcare Provider",3031,"09/17/2012","Theft","Desktop Computer","No"
"5358","Cox Health","MO","Healthcare Provider",2435,"09/17/2012","Theft","Laptop","No"
"5359","The Feinstein Institute for Medical Reserch","NY","Healthcare Provider",13000,"09/14/2012","Theft","Laptop","No"
"5360","BHcare, Inc","CT","Healthcare Provider",5827,"09/14/2012","Theft","Laptop","No"
"5361","Ecco Health, LLC","NV","Business Associate",5713,"09/14/2012","Loss","Other Portable Electronic Device","Yes"
"5362","Valley Plastic Surgery, P.C.","VA","Healthcare Provider",4873,"09/13/2012","Theft","Other Portable Electronic Device","No"
"5363","University of New Mexico Health Sciences Center","NM","Healthcare Provider",2365,"09/12/2012","Hacking/IT Incident","Network Server","No"
"5364","University of Miami","FL","Healthcare Provider",64846,"09/07/2012","Other","Paper/Films","No"
"5365","Charlotte Clark-Neitzel, MD","WA","Healthcare Provider",942,"09/07/2012","Theft","Laptop","No"
"5366","Sierra Plastic Surgery","NV","Healthcare Provider",800,"09/05/2012","Hacking/IT Incident","Network Server","No"
"5367","Tricounty Behavioral Health Clinic","GA","Healthcare Provider",4000,"08/31/2012","Theft","Laptop","No"
"5368","Cancer Care Group, P.C.","IN","Healthcare Provider",55000,"08/28/2012","Theft","Other Portable Electronic Device","No"
"5369","LANA MEDICAL CARE","FL","Healthcare Provider",500,"08/28/2012","Theft","Laptop","No"
"5370","Central States Southeast and Siouthwest Areas Health & Welfare Fund","IL","Health Plan",754,"08/21/2012","Other","Paper/Films","No"
"5371","The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider",2264,"08/17/2012","Loss","Other Portable Electronic Device","No"
"5372","Liberty Resources, Inc.","PA","Healthcare Provider",3183,"08/17/2012","Theft","Laptop","No"
"5373","Memorial Healthcare System","FL","Healthcare Provider",105646,"08/16/2012","Theft","Electronic Medical Record","No"
"5374","Apria Healthcare, Inc., Privacy Manager Breach","CA","Healthcare Provider",11000,"08/15/2012","Theft","Laptop","No"
"5375","Heartland Pathology Associates, P.A.","FL","Healthcare Provider",1175,"08/15/2012","Theft","Other Portable Electronic Device","No"
"5376","TEMPLE COMMUNITY HOSPITAL","CA","Healthcare Provider",603,"08/15/2012","Theft","Desktop Computer","No"
"5377","Siemens Medical Solutions, USA","PA","Business Associate",66601,"08/10/2012","Theft","Laptop","Yes"
"5378","Harris County Hospital District","TX","Healthcare Provider",2875,"08/03/2012","Theft","Electronic Medical Record","No"
"5379","Stanford Hospital & Clinics and School of Medicine, Privacy Manager Breach","CA","Healthcare Provider",2300,"08/03/2012","Theft","Desktop Computer","No"
"5380","Oregon Health & Science University","OR","Healthcare Provider",702,"07/31/2012","Theft","Other","No"
"5381","VNA Health Care Hartford Hospital","CT","Healthcare Provider",7461,"07/31/2012","Theft","Laptop","No"
"5382","EMC","CT","Business Associate",7461,"07/30/2012","Theft","Laptop","Yes"
"5383","Walgreen Co.","IL","Healthcare Provider",1240,"07/30/2012","Theft","Paper/Films","No"
"5384","Northwestern Memorial Hospital","IL","Healthcare Provider",4211,"07/27/2012","Theft","Laptop","No"
"5385","Jeffrey Paul Edelstein M.D.","AZ","Healthcare Provider",4800,"07/27/2012","Theft","Network Server","No"
"5386","Kindred Healthcare Inc d/b/a Kindred Transitional Care and Rehabilitation-Sellersburg","IN","Healthcare Provider",1504,"07/25/2012","Theft","Other","No"
"5387","The Surgeons of Lake County, LLC","IL","Healthcare Provider",7067,"07/25/2012","Hacking/IT Incident","Network Server","No"
"5388","NYU School of Medicine Faculty Group Practice","NY","Healthcare Provider",8488,"07/23/2012","Theft","Desktop Computer","No"
"5389","Beth Israel Deaconess Medical Center","MA","Healthcare Provider",3900,"07/20/2012","Theft","Laptop","No"
"5390","Pamlico Medical Equipment LLC","NC","Healthcare Provider",2917,"07/17/2012","Loss","Other Portable Electronic Device","No"
"5391","Molalla Family Dental","OR","Healthcare Provider",4354,"07/16/2012","Hacking/IT Incident","Network Server","No"
"5392","Hamner Square Dental, Privacy Manager Breach","CA","Healthcare Provider",1112,"07/16/2012","Loss","Other Portable Electronic Device","No"
"5393","Visiting Nurse Services of Iowa","IA","Healthcare Provider",1298,"07/16/2012","Theft","Paper/Films","No"
"5394","Patterson Dental, Inc.","MN","Business Associate",2533,"07/13/2012","Loss","Other Portable Electronic Device","Yes"
"5395","SwedishAmerican Health System","IL","Healthcare Provider",1500,"07/12/2012","Theft","Paper/Films","No"
"5396","Health Texas Provider Network - Cardiovascular Consultants of North Texas","TX","Healthcare Provider",2462,"07/05/2012","Unauthorized Access/Disclosure","Electronic Medical Record","No"
"5397","Sharon L. Rogers, Ph.D., ABPP","TX","Healthcare Provider",585,"07/03/2012","Theft","Laptop","No"
"5398","Bruce G. Peller, DMD, PA","NC","Healthcare Provider",9953,"06/25/2012","Unauthorized Access/Disclosure","Desktop Computer","No"
"5399","Karen Kietzman","MT","Healthcare Provider",708,"06/22/2012","Theft","Laptop","No"
"5400","Wolf & Yun","KY","Healthcare Provider",824,"06/22/2012","Theft","Laptop","No"
"5401","University of Kentucky HealthCare","KY","Healthcare Provider",4490,"06/19/2012","Theft","Laptop","No"
"5402","Gessler Clinic, P.A.","FL","Healthcare Provider",1409,"06/14/2012","Theft","Paper/Films","No"
"5403","Memorial Sloan-Kettering Cancer Center","NY","Healthcare Provider",568,"06/08/2012","Theft","Email","No"
"5404","Robert Witham, MD, FACP","OR","Healthcare Provider",11136,"06/06/2012","Theft","Desktop Computer","No"
"5405","Metcare of Florida, Inc.","FL","Healthcare Provider",2557,"06/04/2012","Theft","Other Portable Electronic Device","No"
"5406","PrevMED","MD","Business Associate",1444,"06/04/2012","Theft","Laptop","Yes"
"5407","Charlie Norwood VA Medical Center","GA","Healthcare Provider",824,"06/04/2012","Loss","Other Portable Electronic Device","No"
"5408","Volunteer State Health Plan, Inc.","TN","Health Plan",1102,"05/31/2012","Loss","Paper/Films","No"
"5409","Lutheran Community Services Northwest","WA","Healthcare Provider",756,"05/29/2012","Theft","Desktop Computer","No"
"5410","Titus Regional Medical Center","TX","Healthcare Provider",500,"05/26/2012","Theft","Other","No"
"5411","Titus Regional Medical Center","TX","Healthcare Provider",5700,"05/26/2012","Loss","Laptop","No"
"5412","Independence Physical Therapy","CT","Healthcare Provider",925,"05/25/2012","Theft","Desktop Computer","No"
"5413","Phoebe Putney Memorial Hospital, Inc.","GA","Healthcare Provider",12937,"05/24/2012","Theft","Electronic Medical Record","No"
"5414","Physician's Automated Laboratory","CA","Healthcare Provider",745,"05/23/2012","Theft","Paper/Films","No"
"5415","Data Image, Inc.","OH","Business Associate",15000,"05/22/2012","Unauthorized Access/Disclosure","Other","Yes"
"5416","Children's Hospital Boston","MA","Healthcare Provider",2159,"05/22/2012","Theft","Laptop","No"
"5417","Ameritas Life Insurance Corp.","NE","Health Plan",3000,"05/21/2012","Theft","Laptop","No"
"5418","Luz Colon, DPM  Podiatry","FL","Healthcare Provider",1137,"05/19/2012","Loss","Laptop","No"
"5419","Duke University Health System","NC","Healthcare Provider",591,"05/18/2012","Unauthorized Access/Disclosure","Other","No"
"5420","West Dermatology","CA","Healthcare Provider",1900,"05/18/2012","Theft","Other","No"
"5421","UnitedHealth Group health plan single affiliated covered entity","MN","Health Plan",19100,"05/18/2012","Unauthorized Access/Disclosure","Other","No"
"5422","Our Lady of the Lake Regional Medical Center","LA","Healthcare Provider",17000,"05/18/2012","Loss","Laptop","No"
"5423","St. Mary Medical Center","CA","Healthcare Provider",3900,"05/14/2012","Loss","Other Portable Electronic Device","No"
"5424","Family Health Services Minnesota PA","MN","Healthcare Provider",4000,"05/14/2012","Theft","Laptop","No"
"5425","Hogan Services Inc. Health Care Premium Plan","MO","Health Plan",1134,"05/11/2012","Unauthorized Access/Disclosure","Email","No"
"5426","Iowa Department of Human Services","IA","Health Plan",3000,"05/11/2012","Improper Disposal","Paper/Films","No"
"5427","Rite Aid Store 1343","WV","Healthcare Provider",2905,"05/10/2012","Theft","Paper/Films","No"
"5428","University of Houston for UH College of Optometry","TX","Healthcare Provider",7000,"05/08/2012","Hacking/IT Incident","Network Server","No"
"5429","Baptist Health System","AL","Healthcare Provider",1655,"05/04/2012","Improper Disposal","Paper/Films","No"
"5430","Stephen Haggard, DPM Podiatry","WA","Healthcare Provider",1597,"05/04/2012","Theft","Network Server","No"
"5431","Oakland Vision Services, PC","MI","Healthcare Provider",3000,"05/03/2012","Hacking/IT Incident","Network Server","No"
"5432","IntraCare North Hospital","TX","Healthcare Provider",750,"05/03/2012","Theft","Paper/Films","No"
"5433","Safe Ride Services, Inc","AZ","Healthcare Provider",42000,"05/01/2012","Hacking/IT Incident","Network Server","No"
"5434","Thomas Jefferson University Hospitals","PA","Healthcare Provider",590,"04/30/2012","Theft","Paper/Films","No"
"5435","SHIELDS For Families","CA","Healthcare Provider",961,"04/26/2012","Theft","Network Server","No"
"5436","Oregon Health Authority","OR","Healthcare Provider",550,"04/26/2012","Theft","Paper/Films","No"
