"","entity","state","type","affected","date","incident","location","business_associate"
"125","City of Homer","AK","Healthcare Provider",1412,"12/07/2023","Loss","Other Portable Electronic Device","No"
"126","Wichita Urology Group","KS","Healthcare Provider",5314,"12/07/2023","Hacking/IT Incident","Network Server","Yes"
"127","Prime Healthcare","CA","Healthcare Provider",7185,"12/06/2023","Hacking/IT Incident","Network Server","Yes"
"128","Akumin Operating Corp.","FL","Healthcare Provider",501,"12/06/2023","Hacking/IT Incident","Network Server","No"
"129","Hi-School Pharmacy","WA","Healthcare Provider",12779,"12/05/2023","Hacking/IT Incident","Network Server","No"
"130","Pan-American Life Insurance Group, Inc.","LA","Business Associate",94807,"12/04/2023","Hacking/IT Incident","Network Server","Yes"
"131","Leggett & Platt Incorporated Employee Benefit Fund","MO","Health Plan",1200,"12/04/2023","Hacking/IT Incident","Network Server","Yes"
"132","Neurosurgical Associates of New Jersey","NJ","Healthcare Provider",500,"12/04/2023","Unauthorized Access/Disclosure","Network Server","No"
"133","4 Over LLC Group Health Plan","CA","Health Plan",6491,"12/04/2023","Hacking/IT Incident","Network Server","No"
"134","Pan-American Life Insurance Group, Inc.","LA","Health Plan",105387,"12/04/2023","Hacking/IT Incident","Network Server","No"
"135","KY Cabinet for Health and Family Services (CHFS)","KY","Healthcare Provider",2062,"12/03/2023","Hacking/IT Incident","Network Server","Yes"
"136","Strategic Management LLC","MS","Business Associate",648,"12/03/2023","Hacking/IT Incident","Email","Yes"
"137","EMS Management and Consultants Inc.","NC","Business Associate",2654,"12/01/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"138","Cardiovascular Consultants Ltd.","AZ","Healthcare Provider",484000,"12/01/2023","Hacking/IT Incident","Network Server","No"
"139","The Children’s Home of Wyoming Conference","NY","Healthcare Provider",1111,"12/01/2023","Hacking/IT Incident","Network Server","No"
"140","Neuromusculoskeletal Center of the Cascades, PC","OR","Healthcare Provider",22328,"12/01/2023","Hacking/IT Incident","Email","No"
"141","Community Healthcare Network, Inc.","NY","Healthcare Provider",500,"11/30/2023","Hacking/IT Incident","Network Server","No"
"142","F&E Aviation Holdings, Inc.","FL","Health Plan",3097,"11/30/2023","Hacking/IT Incident","Network Server","No"
"143","West Anaheim Medical Center","CA","Healthcare Provider",1166,"11/29/2023","Hacking/IT Incident","Network Server","Yes"
"144","Chesapeake Regional Healthcare","VA","Healthcare Provider",31679,"11/29/2023","Hacking/IT Incident","Network Server","Yes"
"145","Fenway Community Health Center, Inc.","MA","Healthcare Provider",599,"11/29/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"146","Columbia County Child Abuse Assessment Center dba The Amani Center","OR","Healthcare Provider",2374,"11/28/2023","Hacking/IT Incident","Email","No"
"147","Lakeview Healthcare System, LLC","FL","Healthcare Provider",2495,"11/27/2023","Theft","Paper/Films","No"
"148","Foursquare Healthcare, Ltd.","TX","Healthcare Provider",10890,"11/27/2023","Hacking/IT Incident","Network Server","No"
"149","Inline Plastics Corp.","CT","Health Plan",4853,"11/27/2023","Hacking/IT Incident","Network Server","No"
"150","Equality Health, LLC","AZ","Healthcare Provider",9240,"11/27/2023","Hacking/IT Incident","Email","No"
"151","Oak Street Health","IL","Healthcare Provider",3238,"11/24/2023","Unauthorized Access/Disclosure","Paper/Films","Yes"
"152","Montrose Behavioral Health Hospital, Inc.","IL","Healthcare Provider",597,"11/24/2023","Hacking/IT Incident","Email","No"
"153","Morrison Community Hospital District","IL","Healthcare Provider",122488,"11/23/2023","Hacking/IT Incident","Network Server","No"
"154","Molina Healthcare of Iowa, Inc.","IA","Business Associate",1647,"11/22/2023","Hacking/IT Incident","Email","Yes"
"155","Saisystems International, Inc.","CT","Business Associate",10063,"11/22/2023","Hacking/IT Incident","Network Server","Yes"
"156","Sierra County (Department of Public Health, Department of Behavioral Health)","CA","Healthcare Provider",2463,"11/22/2023","Hacking/IT Incident","Email","No"
"157","East River Medical Imaging, PC","NY","Healthcare Provider",605809,"11/22/2023","Hacking/IT Incident","Network Server","No"
"158","The Charles Lea Center","SC","Healthcare Provider",1250,"11/22/2023","Hacking/IT Incident","Network Server","No"
"159","Northwest Eye Care Professionals","OR","Healthcare Provider",950,"11/22/2023","Hacking/IT Incident","Network Server","No"
"160","U.S. Drug Mart, Inc.","TX","Healthcare Provider",13016,"11/21/2023","Hacking/IT Incident","Network Server","Yes"
"161","TGI Direct, Inc.","MI","Business Associate",16113,"11/21/2023","Hacking/IT Incident","Network Server","Yes"
"162","Detroit Chassis, LLC","MI","Health Plan",958,"11/21/2023","Hacking/IT Incident","Network Server","No"
"163","Proliance Surgeons","WA","Healthcare Provider",437392,"11/20/2023","Hacking/IT Incident","Network Server","No"
"164","1st Source Bank","IN","Business Associate",1477,"11/20/2023","Hacking/IT Incident","Network Server","Yes"
"165","Jacksonville Children's and Multispecialty Clinic","NC","Healthcare Provider",40000,"11/17/2023","Hacking/IT Incident","Network Server","No"
"166","CKF Addiction Treatment, Inc.","KS","Healthcare Provider",501,"11/17/2023","Hacking/IT Incident","Email","No"
"167","Community Health Network, Inc.","IN","Healthcare Provider",2271,"11/17/2023","Hacking/IT Incident","Email","No"
"168","California Physicians’ Service d/b/a Blue Shield of California","CA","Health Plan",636848,"11/17/2023","Hacking/IT Incident","Network Server","Yes"
"169","Psychiatry Associates of Kansas City","KS","Healthcare Provider",18255,"11/17/2023","Hacking/IT Incident","Network Server","No"
"170","Blue Shield of California OR Blue Shield of California Promise Health Plan","CA","Business Associate",26523,"11/17/2023","Hacking/IT Incident","Network Server","Yes"
"171","Wyoming County Community Health System","NY","Healthcare Provider",26000,"11/16/2023","Hacking/IT Incident","Network Server","No"
"172","State of Maine","ME","Health Plan",453894,"11/16/2023","Hacking/IT Incident","Network Server","No"
"173","Rock Valley Physical Therapy Center","IL","Healthcare Provider",2421,"11/16/2023","Unauthorized Access/Disclosure","Email","No"
"174","CareTree, Inc.","IL","Business Associate",1097,"11/15/2023","Hacking/IT Incident","Network Server","Yes"
"175","Westside Community Services","CA","Healthcare Provider",2484,"11/15/2023","Hacking/IT Incident","Network Server","No"
"176","International Paper Company Group Health and Welfare Plan (the ""IP Plan"")","TN","Health Plan",78692,"11/14/2023","Hacking/IT Incident","Network Server","Yes"
"177","Medical College of Wisconsin","WI","Healthcare Provider",240667,"11/14/2023","Hacking/IT Incident","Network Server","No"
"178","Medical Eye Services, Inc.","NY","Business Associate",377931,"11/14/2023","Hacking/IT Incident","Network Server","Yes"
"179","Endocrine and Psychiatry Center","TX","Healthcare Provider",28531,"11/14/2023","Hacking/IT Incident","Network Server","No"
"180","Southwest Behavioral Health Center","UT","Healthcare Provider",17147,"11/13/2023","Hacking/IT Incident","Network Server","No"
"181","CBIZ KA Consulting Services, LLC","NJ","Business Associate",30806,"11/10/2023","Hacking/IT Incident","Network Server","Yes"
"182","Woodfords Family Services","ME","Healthcare Provider",6691,"11/10/2023","Hacking/IT Incident","Network Server","No"
"183","Southland Integrated Services, Inc.","CA","Healthcare Provider",7988,"11/10/2023","Hacking/IT Incident","Network Server","No"
"184","Healix Infusion Therapy, LLC","TX","Healthcare Provider",501,"11/09/2023","Hacking/IT Incident","Network Server","No"
"185","Warren General Hospital","PA","Healthcare Provider",168921,"11/09/2023","Hacking/IT Incident","Network Server","No"
"186","Mariner Management Group","OH","Healthcare Provider",1756,"11/08/2023","Hacking/IT Incident","Network Server","No"
"187","Pharmacy Group of Mississippi, LLC","MS","Healthcare Provider",13129,"11/07/2023","Hacking/IT Incident","Network Server","No"
"188","IPM Healthcare DBA Boomerang Healthcare","CA","Healthcare Provider",1204,"11/07/2023","Unauthorized Access/Disclosure","Email","No"
"189","Prestige Care, Inc.","WA","Healthcare Provider",501,"11/06/2023","Hacking/IT Incident","Network Server","No"
"190","Welltok, Inc.","CO","Business Associate",8493379,"11/06/2023","Hacking/IT Incident","Network Server","Yes"
"191","WellLife Network Inc.","NY","Healthcare Provider",501,"11/06/2023","Hacking/IT Incident","Network Server","No"
"192","Healthsoft LLC","GA","Business Associate",1000,"11/06/2023","Hacking/IT Incident","Network Server","Yes"
"193","Financial Asset Management Systems (""FAMS"")","GA","Business Associate",164796,"11/04/2023","Hacking/IT Incident","Network Server","Yes"
"194","Mayo Clinic","MN","Healthcare Provider",1152,"11/03/2023","Unauthorized Access/Disclosure","Network Server","No"
"195","Sutter Health","CA","Healthcare Provider",845441,"11/03/2023","Hacking/IT Incident","Network Server","Yes"
"196","South Austin Health Imaging LLC dba Longhorn Imaging Center","TX","Healthcare Provider",100643,"11/03/2023","Hacking/IT Incident","Network Server","Yes"
"197","Perry Johnson & Associates, Inc., which does business as PJ&A","NV","Business Associate",8952212,"11/03/2023","Hacking/IT Incident","Network Server","Yes"
"198","Catholic Charities of the Diocese of Rockville Centre d/b/a Catholic Charities of Long Island","NY","Healthcare Provider",13000,"11/03/2023","Hacking/IT Incident","Network Server","No"
"199","Youth and Shelter Services, Inc.","IA","Healthcare Provider",501,"11/03/2023","Hacking/IT Incident","Network Server","No"
"200","WACOSA","MN","Healthcare Provider",1380,"11/03/2023","Hacking/IT Incident","Network Server","No"
"201","Westat, Inc.","MD","Business Associate",20045,"11/03/2023","Hacking/IT Incident","Network Server","Yes"
"202","Life Generations Healthcare LLC","CA","Healthcare Provider",5832,"11/03/2023","Hacking/IT Incident","Email","No"
"203","Mulkay Cardiology Consultants at Holy Name Medical Center, P.C.","NJ","Healthcare Provider",79582,"11/03/2023","Hacking/IT Incident","Network Server","No"
"204","Postmeds, Inc.","CA","Healthcare Provider",2364359,"10/30/2023","Hacking/IT Incident","Other","Yes"
"205","Longhorn Village","TX","Healthcare Provider",1670,"10/30/2023","Hacking/IT Incident","Email","No"
"206","Northern Iowa Therapy PC","IA","Business Associate",5100,"10/29/2023","Hacking/IT Incident","Network Server","Yes"
"207","PeakMed","CO","Healthcare Provider",27800,"10/27/2023","Hacking/IT Incident","Network Server","No"
